Population	 Frequency at Bottleneck 5	 Frequency at Bottleneck 10	 Frequency at Bottleneck 15	 Frequency at Bottleneck 20	 Whole Population Fitness Average at Bottleneck 5	 Whole Population Fitness Average at Bottleneck 10	 Whole Population Fitness Average at Bottleneck 15	 Whole Population Fitness Average at Bottleneck 20
POP-46 	 0.503517 	 0.496192 	 0.499558 	 0.4901 	 1 	 1 	 1.00006 	 1.00153 
POP-47 	 0.502367 	 0.50645 	 0.497992 	 0.50025 	 1 	 1 	 1 	 1 
POP-48 	 0.50395 	 0.502008 	 0.508425 	 0.50065 	 1 	 1 	 1 	 1 
POP-49 	 0.494342 	 0.00105 	 0 	 0 	 1.00357 	 1.44157 	 1.44248 	 1.44248 
POP-50 	 0.492958 	 0.480983 	 0.47225 	 0.47455 	 1 	 1 	 1 	 1 
POP-51 	 0.498542 	 0.51075 	 0.5138 	 0.509725 	 1 	 1 	 1 	 1.0001 
POP-52 	 0.492033 	 0.493325 	 0.493508 	 0.494275 	 1 	 1 	 1 	 1 
POP-53 	 0.510417 	 0.51025 	 0.520392 	 0.524108 	 1 	 1 	 1 	 1 
POP-54 	 0.504158 	 0.493875 	 0.492342 	 0.494333 	 1 	 1 	 1 	 1 
POP-55 	 0.493408 	 0.501175 	 0.505692 	 0.497725 	 1 	 1 	 1 	 1 
POP-56 	 0.494192 	 0.5004 	 0.495208 	 0.488658 	 1 	 1 	 1 	 1 
POP-57 	 0.494492 	 0.494317 	 0.502392 	 0.496175 	 1 	 1 	 1 	 1 
POP-58 	 0.494583 	 0.4906 	 0.496608 	 0.496308 	 1 	 1 	 1 	 1 
POP-59 	 0.50275 	 0.494225 	 0.499667 	 0.497025 	 1 	 1 	 1 	 1 
POP-60 	 0.499992 	 0.493925 	 0.49875 	 0.486708 	 1 	 1 	 1 	 1 
POP-61 	 0.509108 	 0.509442 	 0.4943 	 0.493317 	 1 	 1 	 1 	 1 
POP-62 	 0.490708 	 0.49945 	 0.501175 	 0.495525 	 1 	 1 	 1 	 1 
POP-63 	 0.494042 	 0.48895 	 0.487883 	 0.489992 	 1 	 1 	 1 	 1 
POP-64 	 0.507125 	 0.503883 	 0.505858 	 0.500433 	 1 	 1 	 1 	 1 
POP-65 	 0.496217 	 0.492267 	 0.497133 	 0.504433 	 1 	 1 	 1 	 1 
POP-66 	 0.494917 	 0.503967 	 0.496983 	 0.561892 	 1 	 1 	 1.00012 	 1.02578 
POP-67 	 0.507642 	 0.503692 	 0.490425 	 0.36255 	 1.00001 	 1.00027 	 1.00285 	 1.02551 
POP-68 	 0.495758 	 0.485875 	 0.4897 	 0.491983 	 1 	 1 	 1 	 1 
POP-69 	 0.501225 	 0.515958 	 0.0691333 	 1.66667e-05 	 1 	 1.00025 	 1.31076 	 1.35723 
POP-70 	 0.4914 	 0.483242 	 0.477775 	 0.313042 	 1 	 1 	 1.00008 	 1.09601 
POP-71 	 0.49355 	 0.486 	 0.492292 	 0.497658 	 1 	 1 	 1 	 1 
POP-72 	 0.495667 	 0.496167 	 0.49825 	 0.5039 	 1 	 1 	 1 	 1 
POP-73 	 0.496525 	 0.494875 	 0.498058 	 0.496667 	 1 	 1 	 1 	 1.00003 
POP-74 	 0.488758 	 0.50215 	 0.49565 	 0.493333 	 1 	 1 	 1 	 1 
POP-75 	 0.4983 	 0.507783 	 0.513758 	 0.515867 	 1 	 1 	 1.00001 	 1.00006 
POP-76 	 0.500283 	 0.506108 	 0.513925 	 0.515025 	 1 	 1 	 1 	 1 
POP-77 	 0.494667 	 0.504508 	 0.522258 	 0.946358 	 1 	 1.00002 	 1.00693 	 1.17677 
POP-78 	 0.502617 	 0.501192 	 0.50535 	 0.49875 	 1 	 1 	 1 	 1 
POP-79 	 0.503108 	 0.499817 	 0.495183 	 0.489525 	 1 	 1 	 1 	 1 
POP-80 	 0.5001 	 0.49605 	 0.5026 	 0.501842 	 1 	 1 	 1 	 1 
POP-81 	 0.500842 	 0.497 	 0.501333 	 0.486817 	 1 	 1 	 1 	 1 
POP-82 	 0.490217 	 0.489975 	 0.490333 	 0.488042 	 1 	 1 	 1 	 1 
POP-83 	 0.504 	 0.501975 	 0.505842 	 0.509725 	 1 	 1 	 1 	 1 
POP-84 	 0.491367 	 0.496267 	 0.495208 	 0.504517 	 1 	 1 	 1 	 1 
POP-85 	 0.501808 	 0.503175 	 0.493475 	 0.111667 	 1 	 1.00004 	 1.00506 	 1.13143 
POP-86 	 0.506075 	 0.505533 	 0.497992 	 0.494917 	 1 	 1 	 1 	 1 
POP-87 	 0.497067 	 0.501817 	 0.499817 	 0.502375 	 1 	 1 	 1 	 1 
POP-88 	 0.502842 	 0.499767 	 0.505475 	 0.497325 	 1 	 1 	 1.00001 	 1.00686 
POP-89 	 0.513142 	 0.512875 	 0.513725 	 0.5128 	 1 	 1 	 1 	 1 
POP-90 	 0.500033 	 0.49495 	 0.486183 	 0.680175 	 1.00003 	 1.00032 	 1.00553 	 1.09925 
POP-91 	 0.502767 	 0.373508 	 0.00471667 	 8.33333e-06 	 1.00023 	 1.05665 	 1.21241 	 1.21422 
POP-92 	 0.494475 	 0.495458 	 0.492917 	 0.496792 	 1 	 1 	 1 	 1 
POP-93 	 0.505225 	 0.5124 	 0.509742 	 0.511875 	 1 	 1 	 1 	 1 
POP-94 	 0.505075 	 0.850642 	 1 	 1 	 1.00001 	 1.3288 	 1.47282 	 1.47282 
POP-95 	 0.502025 	 0.501967 	 0.49935 	 0.356733 	 1 	 1.00005 	 1.00139 	 1.03739 
POP-96 	 0.499017 	 0.502917 	 0.504083 	 0.502917 	 1 	 1 	 1 	 1 
POP-97 	 0.502717 	 0.504808 	 0.54895 	 0.9963 	 1 	 1.00003 	 1.02354 	 1.26939 
POP-98 	 0.504692 	 0.504942 	 0.504625 	 0.5036 	 1 	 1 	 1 	 1 
POP-99 	 0.503025 	 0.503625 	 0.511958 	 0.137825 	 1 	 1.00002 	 1.00326 	 1.1286 
POP-100 	 0.5043 	 0.496742 	 0.508667 	 0.512192 	 1 	 1 	 1 	 1 
