Population	 Frequency at Bottleneck 5	 Frequency at Bottleneck 10	 Frequency at Bottleneck 15	 Frequency at Bottleneck 20	 Whole Population Fitness Average at Bottleneck 5	 Whole Population Fitness Average at Bottleneck 10	 Whole Population Fitness Average at Bottleneck 15	 Whole Population Fitness Average at Bottleneck 20
POP-1 	 0.502225 	 0.502958 	 0.503 	 0.502342 	 1 	 1 	 1 	 1 
POP-2 	 0.50315 	 0.493717 	 0.492983 	 0.496825 	 1 	 1 	 1 	 1 
POP-3 	 0.504408 	 0.499275 	 0.502833 	 0.504575 	 1 	 1 	 1 	 1 
POP-4 	 0.507725 	 0.505883 	 0.511458 	 0.511267 	 1 	 1 	 1 	 1 
POP-5 	 0.491 	 0.4934 	 0.49585 	 0.487425 	 1 	 1 	 1 	 1 
POP-6 	 0.496692 	 0.7709 	 0.999692 	 1 	 1.00024 	 1.14469 	 1.2718 	 1.27197 
POP-7 	 0.49915 	 0.4985 	 0.489933 	 0.487542 	 1 	 1 	 1.00001 	 1.00027 
POP-8 	 0.493617 	 0.146 	 0.000483333 	 0 	 1.00128 	 1.15412 	 1.21804 	 1.21827 
POP-9 	 0.503367 	 0.503233 	 0.505508 	 0.502617 	 1 	 1 	 1 	 1 
POP-10 	 0.495167 	 0.49925 	 0.509258 	 0.527058 	 1 	 1 	 1.00004 	 1.01259 
POP-11 	 0.4965 	 0.503708 	 0.495458 	 0.503742 	 1 	 1 	 1 	 1 
POP-12 	 0.491967 	 0.493675 	 0.499908 	 0.491317 	 1 	 1 	 1 	 1.00001 
POP-13 	 0.484692 	 0.4952 	 0.497208 	 0.491217 	 1 	 1 	 1 	 1 
POP-14 	 0.4941 	 0.481408 	 0.470167 	 0.470808 	 1 	 1 	 1 	 1 
POP-15 	 0.493558 	 0.490875 	 0.4924 	 0.485283 	 1 	 1 	 1 	 1 
POP-16 	 0.501292 	 0.504575 	 0.5051 	 0.514325 	 1 	 1 	 1 	 1 
POP-17 	 0.497908 	 0.492967 	 0.494817 	 0.498192 	 1 	 1 	 1 	 1 
POP-18 	 0.497175 	 0.499217 	 0.493533 	 0.491508 	 1 	 1 	 1 	 1 
POP-19 	 0.505242 	 0.504917 	 0.511583 	 0.509292 	 1 	 1 	 1 	 1 
POP-20 	 0.498233 	 0.499583 	 0.495217 	 0.511658 	 1 	 1 	 1 	 1 
POP-21 	 0.495775 	 0.490067 	 0.490325 	 0.49185 	 1 	 1 	 1 	 1 
POP-22 	 0.5046 	 0.492767 	 0.494083 	 0.484683 	 1 	 1 	 1 	 1 
POP-23 	 0.504733 	 0.500575 	 0.500533 	 0.503558 	 1 	 1 	 1 	 1 
POP-24 	 0.495633 	 0.488575 	 0.486967 	 0.495967 	 1 	 1 	 1 	 1 
POP-25 	 0.496217 	 0.502142 	 0.506308 	 0.5066 	 1 	 1 	 1 	 1 
POP-26 	 0.497783 	 0.504117 	 0.507067 	 0.505375 	 1 	 1 	 1 	 1 
POP-27 	 0.503467 	 0.497292 	 0.563558 	 0.998308 	 1 	 1.00003 	 1.04045 	 1.28708 
POP-28 	 0.506383 	 0.500692 	 0.514183 	 0.515342 	 1 	 1 	 1 	 1 
POP-29 	 0.499025 	 0.494567 	 0.494117 	 0.491325 	 1 	 1 	 1 	 1.00002 
POP-30 	 0.488633 	 0.498517 	 0.499142 	 0.497875 	 1 	 1 	 1 	 1 
POP-31 	 0.5002 	 0.5006 	 0.498158 	 0.491775 	 1 	 1 	 1 	 1.00002 
POP-32 	 0.509608 	 0.504092 	 0.5068 	 0.511725 	 1 	 1 	 1 	 1 
POP-33 	 0.505633 	 0.508633 	 0.511625 	 0.515825 	 1 	 1.00001 	 1.00001 	 1.00002 
POP-34 	 0.492467 	 0.483 	 0.482383 	 0.488667 	 1 	 1 	 1 	 1 
POP-35 	 0.498625 	 0.50195 	 0.504867 	 0.5201 	 1 	 1 	 1 	 1 
POP-36 	 0.496217 	 0.5046 	 0.493125 	 0.495242 	 1 	 1 	 1 	 1 
POP-37 	 0.498267 	 0.489767 	 0.492183 	 0.487342 	 1 	 1 	 1 	 1 
POP-38 	 0.493817 	 0.487008 	 0.486867 	 0.486 	 1 	 1 	 1 	 1 
POP-39 	 0.494167 	 0.497583 	 0.50405 	 0.503067 	 1 	 1 	 1 	 1 
POP-40 	 0.498025 	 0.492358 	 0.481133 	 0.48055 	 1 	 1 	 1 	 1 
POP-41 	 0.50265 	 0.490758 	 0.48225 	 0.482558 	 1 	 1 	 1 	 1 
POP-42 	 0.502808 	 0.506317 	 0.509733 	 0.515775 	 1 	 1 	 1 	 1 
POP-43 	 0.494575 	 0.5002 	 0.50435 	 0.4968 	 1 	 1 	 1 	 1 
POP-44 	 0.50445 	 0.500125 	 0.504517 	 0.508592 	 1 	 1 	 1 	 1 
POP-45 	 0.498608 	 0.496458 	 0.498758 	 0.492525 	 1 	 1 	 1 	 1 
