Population	 Frequency at Bottleneck 10	 Frequency at Bottleneck 20	 Frequency at Bottleneck 30	 Frequency at Bottleneck 40	 Frequency at Bottleneck 50	 Frequency at Bottleneck 60	 Whole Population Fitness Average at Bottleneck 10	 Whole Population Fitness Average at Bottleneck 20	 Whole Population Fitness Average at Bottleneck 30	 Whole Population Fitness Average at Bottleneck 40	 Whole Population Fitness Average at Bottleneck 50	 Whole Population Fitness Average at Bottleneck 60
POP-1 	 0.000866667 	 0 	 0 	 0 	 0 	 0 	 1.66022 	 4.32129 	 7.30287 	 13.6499 	 22.819 	 39.1741 
POP-2 	 0.014125 	 0 	 0 	 0 	 0 	 0 	 1.50481 	 2.83198 	 4.03306 	 6.74348 	 11.3389 	 17.4112 
POP-3 	 0.64945 	 0.962375 	 1 	 1 	 1 	 1 	 1.38598 	 2.56415 	 4.81464 	 10.2238 	 17.3292 	 33.4013 
POP-4 	 0.847158 	 0.951308 	 0.999992 	 1 	 1 	 1 	 1.3243 	 1.78664 	 3.34879 	 5.39993 	 11.1898 	 18.6647 
POP-5 	 0.996825 	 1 	 1 	 1 	 1 	 1 	 1.49844 	 2.33999 	 4.03904 	 7.08291 	 14.0912 	 26.9231 
POP-6 	 0.999183 	 1 	 1 	 1 	 1 	 1 	 1.63511 	 3.07483 	 5.73602 	 9.95434 	 19.9833 	 27.8095 
POP-7 	 0.807058 	 1 	 1 	 1 	 1 	 1 	 1.38787 	 2.60992 	 4.54328 	 7.96493 	 15.4183 	 29.6359 
POP-8 	 0.06335 	 0 	 0 	 0 	 0 	 0 	 1.60044 	 3.26087 	 6.66529 	 10.4564 	 20.939 	 35.5003 
POP-9 	 0.995767 	 1 	 1 	 1 	 1 	 1 	 1.45061 	 2.53396 	 4.20199 	 7.86518 	 13.0089 	 27.2809 
POP-10 	 0.978658 	 1 	 1 	 1 	 1 	 1 	 1.43723 	 2.79881 	 4.42706 	 6.37036 	 9.63111 	 19.0009 
POP-11 	 0.121108 	 0.0016 	 0 	 0 	 0 	 0 	 1.33278 	 1.85165 	 3.28017 	 7.02139 	 12.4086 	 16.6598 
POP-12 	 0.0344 	 0 	 0 	 0 	 0 	 0 	 1.39104 	 3.81486 	 7.39927 	 13.1411 	 30.2884 	 49.3816 
POP-13 	 0 	 0 	 0 	 0 	 0 	 0 	 1.76065 	 3.16665 	 5.00557 	 9.20896 	 14.5183 	 27.3033 
POP-14 	 0.979475 	 1 	 1 	 1 	 1 	 1 	 1.61616 	 2.93626 	 5.65055 	 10.3403 	 16.864 	 32.3186 
POP-15 	 0.0359 	 0 	 0 	 0 	 0 	 0 	 1.56558 	 4.60249 	 7.63567 	 14.8821 	 25.5189 	 37.5053 
POP-16 	 0.892383 	 1 	 1 	 1 	 1 	 1 	 1.48575 	 2.87006 	 6.30548 	 11.4041 	 20.8885 	 33.607 
POP-17 	 0.284183 	 0.488467 	 2.5e-05 	 0 	 0 	 0 	 1.38917 	 2.1412 	 4.1501 	 7.72677 	 13.851 	 26.9606 
POP-18 	 0.676683 	 0.988925 	 0.999217 	 1 	 1 	 1 	 1.5211 	 2.53739 	 4.85899 	 9.95799 	 23.9877 	 38.5228 
POP-19 	 0.0182833 	 0 	 0 	 0 	 0 	 0 	 1.49841 	 2.60102 	 4.59814 	 11.8004 	 17.0934 	 34.4119 
POP-20 	 0.303817 	 0.999975 	 1 	 1 	 1 	 1 	 1.34309 	 2.98087 	 5.20634 	 12.426 	 26.713 	 41.056 
POP-21 	 0.000225 	 0 	 0 	 0 	 0 	 0 	 1.5926 	 3.58921 	 5.70151 	 11.6363 	 25.1961 	 43.346 
POP-22 	 3.33333e-05 	 0 	 0 	 0 	 0 	 0 	 1.72214 	 2.61058 	 4.1986 	 6.49523 	 10.369 	 20.4456 
POP-23 	 0.958867 	 1 	 1 	 1 	 1 	 1 	 1.57994 	 4.20577 	 6.48171 	 10.4449 	 16.3596 	 27.4746 
POP-24 	 0.956858 	 1 	 1 	 1 	 1 	 1 	 1.51213 	 3.06537 	 5.86935 	 10.4622 	 15.9932 	 28.7285 
POP-25 	 0.336275 	 0.00745833 	 0 	 0 	 0 	 0 	 1.3098 	 2.50255 	 4.93475 	 10.9992 	 22.6035 	 40.0623 
POP-26 	 0.852092 	 0.187533 	 0 	 0 	 0 	 0 	 1.43383 	 2.56073 	 4.81404 	 9.66846 	 16.8651 	 27.3779 
POP-27 	 0.293408 	 0.0600667 	 4.16667e-05 	 0 	 0 	 0 	 1.34512 	 2.55537 	 3.78353 	 5.51994 	 9.17768 	 17.2533 
POP-28 	 0.004025 	 0 	 0 	 0 	 0 	 0 	 1.4364 	 2.79492 	 4.70554 	 8.41129 	 15.4225 	 28.7568 
