Population	 Frequency at Bottleneck 5	 Frequency at Bottleneck 10	 Frequency at Bottleneck 15	 Frequency at Bottleneck 20	 Whole Population Fitness Average at Bottleneck 5	 Whole Population Fitness Average at Bottleneck 10	 Whole Population Fitness Average at Bottleneck 15	 Whole Population Fitness Average at Bottleneck 20
POP-1 	 1 	 1 	 1 	 1 	 6.11336 	 13.5212 	 46.9982 	 138.768 
POP-2 	 0.0133667 	 0 	 0 	 0 	 1.98033 	 10.2229 	 30.8567 	 78.2044 
POP-3 	 0.0393333 	 5e-05 	 0 	 0 	 2.0927 	 13.6183 	 36.3988 	 131.82 
POP-4 	 1.66667e-05 	 0 	 0 	 0 	 2.54057 	 12.2979 	 24.4249 	 63.7172 
POP-5 	 0.190458 	 0 	 0 	 0 	 1.51945 	 4.19765 	 18.1052 	 37.2929 
POP-6 	 0.981867 	 1 	 1 	 1 	 2.46623 	 5.82131 	 21.5123 	 66.3047 
POP-7 	 3.33333e-05 	 0 	 0 	 0 	 2.75416 	 10.5624 	 32.5656 	 88.2848 
POP-8 	 1.66667e-05 	 0 	 0 	 0 	 2.69579 	 10.757 	 30.439 	 122.74 
POP-9 	 0 	 0 	 0 	 0 	 2.94174 	 7.864 	 24.6723 	 131.051 
POP-10 	 0.495133 	 0 	 0 	 0 	 1.81944 	 4.80126 	 24.2199 	 71.0487 
POP-11 	 0.000158333 	 0 	 0 	 0 	 2.21288 	 4.63436 	 10.1263 	 47.6756 
POP-12 	 0.999992 	 1 	 1 	 1 	 2.57012 	 25.4507 	 52.1439 	 148.212 
POP-13 	 0.903958 	 0.999967 	 1 	 1 	 1.81308 	 4.53068 	 13.1494 	 47.3028 
POP-14 	 0.994942 	 1 	 1 	 1 	 2.02701 	 4.94366 	 45.1722 	 100.009 
POP-15 	 0.553433 	 0.0369333 	 0 	 0 	 1.15034 	 4.98586 	 11.2249 	 58.0364 
POP-16 	 0.7269 	 0.0901 	 0 	 0 	 2.05345 	 4.18892 	 14.8608 	 27.3603 
POP-17 	 0.999775 	 1 	 1 	 1 	 2.23263 	 14.6022 	 58.4224 	 197.967 
POP-18 	 0.269858 	 0.0028 	 0 	 0 	 1.91672 	 5.42827 	 19.6257 	 55.1783 
POP-19 	 0.859933 	 0.999992 	 1 	 1 	 1.70846 	 4.12299 	 17.5386 	 49.4361 
POP-20 	 0.510858 	 0.000883333 	 0 	 0 	 1.46417 	 5.14803 	 17.6262 	 34.7076 
POP-21 	 0.00253333 	 0 	 0 	 0 	 2.57411 	 5.59605 	 10.5503 	 19.8732 
POP-22 	 0.0852333 	 0 	 0 	 0 	 2.18014 	 8.55124 	 31.5991 	 147.913 
POP-23 	 0.000216667 	 0 	 0 	 0 	 2.22551 	 3.45895 	 16.8962 	 33.5734 
POP-24 	 0.715983 	 1 	 1 	 1 	 1.37773 	 5.68837 	 28.5705 	 94.4965 
POP-25 	 0.912058 	 1 	 1 	 1 	 5.58188 	 15.2793 	 36.9894 	 142.368 
POP-26 	 0.0737583 	 2.5e-05 	 0 	 0 	 1.98537 	 3.21318 	 5.97553 	 11.1082 
POP-27 	 1 	 1 	 1 	 1 	 2.35196 	 9.21205 	 22.2381 	 34.8801 
POP-28 	 0.999983 	 1 	 1 	 1 	 2.44561 	 9.5065 	 25.7882 	 51.0037 
POP-29 	 0.928 	 0.898775 	 1 	 1 	 1.77491 	 2.77331 	 18.1249 	 128.429 
POP-30 	 0.978125 	 1 	 1 	 1 	 2.03522 	 4.54199 	 9.68788 	 27.0151 
POP-31 	 0.1931 	 0.000141667 	 0 	 0 	 2.39828 	 10.962 	 20.6544 	 95.3871 
POP-32 	 2.5e-05 	 0 	 0 	 0 	 6.32306 	 17.1752 	 84.442 	 179.075 
POP-33 	 0.0374917 	 0 	 0 	 0 	 1.77378 	 4.19855 	 18.9499 	 50.978 
POP-34 	 0.164283 	 0.57075 	 0.999992 	 1 	 1.82692 	 3.34437 	 8.83706 	 22.4472 
POP-35 	 0.963442 	 1 	 1 	 1 	 1.99687 	 10.5244 	 20.4162 	 42.8889 
POP-36 	 1 	 1 	 1 	 1 	 3.47914 	 16.8091 	 31.4836 	 136.819 
POP-37 	 0.990842 	 1 	 1 	 1 	 2.10363 	 7.76033 	 33.0762 	 83.5346 
POP-38 	 0.962375 	 0.999875 	 1 	 1 	 2.09428 	 3.81468 	 9.96539 	 31.6392 
POP-39 	 0.133158 	 0.290325 	 0.12835 	 0.1505 	 2.33522 	 5.36258 	 9.60245 	 19.6898 
POP-40 	 8.33333e-06 	 0 	 0 	 0 	 2.47282 	 10.2905 	 19.4846 	 36.2911 
POP-41 	 0.820742 	 0.732517 	 0.000241667 	 0 	 1.83719 	 4.39744 	 22.4372 	 106.592 
POP-42 	 0.000758333 	 0 	 0 	 0 	 2.29638 	 6.02457 	 35.6957 	 71.8774 
POP-43 	 0.962408 	 1 	 1 	 1 	 2.30771 	 10.3649 	 53.3012 	 112.626 
POP-44 	 0.885242 	 0.999408 	 1 	 1 	 1.55532 	 3.92518 	 7.98254 	 37.5201 
POP-45 	 0.999908 	 1 	 1 	 1 	 2.56549 	 6.14362 	 30.1887 	 60.7398 
POP-46 	 0.0612083 	 0 	 0 	 0 	 2.4462 	 4.9838 	 10.9869 	 42.4888 
POP-47 	 0.998825 	 1 	 1 	 1 	 1.99519 	 4.63573 	 16.9316 	 44.4453 
POP-48 	 0.937183 	 0.000133333 	 0 	 0 	 2.06012 	 4.82008 	 34.4048 	 140.052 
POP-49 	 0.568842 	 2.5e-05 	 0 	 0 	 2.41582 	 6.88753 	 26.1646 	 98.2898 
POP-50 	 0.00278333 	 0 	 0 	 0 	 2.16717 	 5.55615 	 11.1384 	 27.5306 
POP-51 	 0.000133333 	 0 	 0 	 0 	 2.09192 	 4.91796 	 11.8253 	 80.3729 
POP-52 	 0.95435 	 1 	 1 	 1 	 2.39226 	 5.31419 	 19.4143 	 91.8364 
POP-53 	 0.979367 	 1 	 1 	 1 	 2.19229 	 5.78367 	 28.7161 	 83.5304 
POP-54 	 0.964617 	 1 	 1 	 1 	 1.79735 	 8.96546 	 17.6778 	 52.433 
POP-55 	 0.481775 	 1 	 1 	 1 	 1.02282 	 5.89433 	 25.3833 	 75.3435 
POP-56 	 0.0357167 	 0 	 0 	 0 	 2.37404 	 7.31243 	 10.6888 	 49.9541 
POP-57 	 0.00549167 	 0 	 0 	 0 	 2.10786 	 5.2308 	 15.9015 	 72.1542 
POP-58 	 0.000941667 	 0 	 0 	 0 	 2.18654 	 10.4486 	 18.9606 	 24.5627 
POP-59 	 0.999992 	 1 	 1 	 1 	 2.69509 	 15.3783 	 43.9894 	 89.7684 
POP-60 	 0.215783 	 0.23405 	 0.13185 	 0 	 1.85436 	 3.08141 	 6.35973 	 35.9087 
POP-61 	 0.961525 	 1 	 1 	 1 	 2.08038 	 8.53576 	 19.757 	 57.2027 
POP-62 	 0.086875 	 5e-05 	 0 	 0 	 1.96615 	 4.55454 	 20.5728 	 23.7264 
POP-63 	 0.001375 	 0 	 0 	 0 	 2.37875 	 6.83271 	 31.0283 	 215.183 
POP-64 	 0.006625 	 0 	 0 	 0 	 2.47621 	 9.87119 	 19.7874 	 37.7456 
POP-65 	 1 	 1 	 1 	 1 	 2.3461 	 8.15783 	 22.3152 	 78.2021 
POP-66 	 0.973442 	 1 	 1 	 1 	 2.39585 	 8.75204 	 25.7972 	 76.3932 
POP-67 	 0.527092 	 1 	 1 	 1 	 1.03921 	 3.43175 	 7.34235 	 22.038 
POP-68 	 0.00015 	 0 	 0 	 0 	 2.3559 	 11.6856 	 22.6081 	 49.5957 
POP-69 	 0.456358 	 0 	 0 	 0 	 2.27244 	 6.35126 	 17.3223 	 96.894 
POP-70 	 0.994942 	 1 	 1 	 1 	 2.3692 	 7.25245 	 28.4654 	 60.6627 
POP-71 	 1 	 1 	 1 	 1 	 2.39568 	 4.74163 	 13.7562 	 25.3065 
POP-72 	 0.8916 	 1 	 1 	 1 	 2.29891 	 4.83903 	 10.4267 	 69.378 
POP-73 	 0.989108 	 1 	 1 	 1 	 2.00932 	 5.75757 	 17.9869 	 51.5597 
POP-74 	 0.996775 	 1 	 1 	 1 	 2.42417 	 19.0244 	 73.2425 	 211.282 
POP-75 	 0.999483 	 1 	 1 	 1 	 3.21918 	 10.9405 	 40.8215 	 77.9086 
POP-76 	 0.965717 	 1 	 1 	 1 	 1.81785 	 3.49102 	 7.7061 	 19.5964 
POP-77 	 0.0321583 	 0 	 0 	 0 	 2.85432 	 6.83654 	 29.4102 	 76.4339 
POP-78 	 0.001075 	 0 	 0 	 0 	 2.80605 	 8.96003 	 36.5219 	 76.0923 
POP-79 	 0.998808 	 1 	 1 	 1 	 2.68426 	 6.06267 	 15.0158 	 31.2301 
POP-80 	 0.756817 	 0.906892 	 1 	 1 	 2.04781 	 3.29531 	 7.35618 	 28.5958 
POP-81 	 0.976408 	 1 	 1 	 1 	 1.78261 	 5.26278 	 13.8972 	 61.0966 
POP-82 	 0.999958 	 1 	 1 	 1 	 2.32525 	 9.88597 	 40.5509 	 152.408 
POP-83 	 0.000158333 	 0 	 0 	 0 	 2.24616 	 5.11315 	 11.4602 	 27.8443 
POP-84 	 0.440942 	 0 	 0 	 0 	 1.11901 	 5.49714 	 19.2377 	 60.2 
POP-85 	 0.0577417 	 0 	 0 	 0 	 3.02281 	 5.83133 	 13.8927 	 63.5177 
POP-86 	 0.50515 	 0.994883 	 1 	 1 	 1.00067 	 2.65745 	 12.6962 	 27.2977 
POP-87 	 0.979975 	 1 	 1 	 1 	 2.09114 	 14.2529 	 30.8082 	 78.8098 
POP-88 	 0.99995 	 1 	 1 	 1 	 2.87447 	 6.08884 	 40.418 	 137.472 
POP-89 	 0.829842 	 1 	 1 	 1 	 1.59706 	 3.84616 	 8.60727 	 34.284 
POP-90 	 0.999942 	 1 	 1 	 1 	 2.57207 	 5.09573 	 6.43681 	 20.0521 
POP-91 	 0.0804833 	 0.000608333 	 0 	 0 	 2.3755 	 3.78782 	 18.9716 	 38.8609 
POP-92 	 0.528067 	 1 	 1 	 1 	 1.03773 	 3.68129 	 14.8511 	 53.9942 
POP-93 	 0.00605833 	 0 	 0 	 0 	 2.27245 	 8.62197 	 11.1994 	 60.1293 
POP-94 	 0.998125 	 0.999917 	 1 	 1 	 2.06483 	 2.77158 	 10.1435 	 43.6405 
