Population	 Frequency at Bottleneck 10	 Frequency at Bottleneck 20	 Frequency at Bottleneck 30	 Frequency at Bottleneck 40	 Frequency at Bottleneck 50	 Frequency at Bottleneck 60	 Whole Population Fitness Average at Bottleneck 10	 Whole Population Fitness Average at Bottleneck 20	 Whole Population Fitness Average at Bottleneck 30	 Whole Population Fitness Average at Bottleneck 40	 Whole Population Fitness Average at Bottleneck 50	 Whole Population Fitness Average at Bottleneck 60
POP-1 	 1 	 1 	 1 	 1 	 1 	 1 	 46.4333 	 1859.84 	 140517 	 7.22253e+06 	 8.85627e+08 	 6.69482e+10 
POP-2 	 0 	 0 	 0 	 0 	 0 	 0 	 56.2062 	 4923.67 	 485943 	 4.6494e+07 	 6.30765e+09 	 5.65151e+11 
POP-3 	 1 	 1 	 1 	 1 	 1 	 1 	 28.8112 	 967.665 	 37807 	 2.67214e+06 	 1.9475e+08 	 1.61642e+10 
POP-4 	 0 	 0 	 0 	 0 	 0 	 0 	 59.768 	 6549.01 	 358457 	 1.86031e+07 	 1.68929e+09 	 4.5951e+10 
POP-5 	 1 	 1 	 1 	 1 	 1 	 1 	 59.0301 	 5369.29 	 304444 	 1.5066e+07 	 6.01623e+08 	 3.707e+10 
POP-6 	 1 	 1 	 1 	 1 	 1 	 1 	 44.4007 	 3266.84 	 114351 	 8.85294e+06 	 1.24292e+09 	 5.64332e+10 
POP-7 	 0 	 0 	 0 	 0 	 0 	 0 	 33.849 	 2474.64 	 122756 	 7.13138e+06 	 4.49805e+08 	 3.19178e+10 
POP-8 	 1 	 1 	 1 	 1 	 1 	 1 	 38.7849 	 4906.98 	 552563 	 3.63557e+07 	 3.64515e+09 	 2.98017e+11 
POP-9 	 1 	 1 	 1 	 1 	 1 	 1 	 60.9437 	 4626.5 	 461635 	 1.5897e+07 	 9.09844e+08 	 4.85697e+10 
POP-10 	 0 	 0 	 0 	 0 	 0 	 0 	 45.5086 	 4776.62 	 291023 	 2.29211e+07 	 2.07217e+09 	 7.73746e+10 
POP-11 	 0.000175 	 0 	 0 	 0 	 0 	 0 	 33.1353 	 3939.57 	 866396 	 7.74028e+07 	 3.07394e+09 	 2.68125e+11 
POP-12 	 1 	 1 	 1 	 1 	 1 	 1 	 60.8847 	 2010.74 	 85526.2 	 6.59118e+06 	 2.18372e+08 	 2.59792e+10 
POP-13 	 1 	 1 	 1 	 1 	 1 	 1 	 25.5323 	 1875.5 	 316063 	 2.18127e+07 	 9.91323e+08 	 2.43692e+11 
POP-14 	 1 	 1 	 1 	 1 	 1 	 1 	 89.9774 	 10619.3 	 1.16215e+06 	 1.81072e+08 	 4.60536e+09 	 2.63713e+11 
POP-15 	 0 	 0 	 0 	 0 	 0 	 0 	 50.8809 	 4162.75 	 388244 	 7.60935e+07 	 5.02792e+09 	 4.72798e+11 
POP-16 	 0 	 0 	 0 	 0 	 0 	 0 	 37.4066 	 2472.93 	 116130 	 6.60885e+06 	 1.99633e+08 	 1.82233e+10 
POP-17 	 0.0894583 	 0 	 0 	 0 	 0 	 0 	 24.622 	 1122.81 	 42649.3 	 3.02206e+06 	 1.15649e+08 	 6.46377e+09 
POP-18 	 1 	 1 	 1 	 1 	 1 	 1 	 77.3262 	 2678.03 	 87146.8 	 9.93922e+06 	 7.07283e+08 	 2.06215e+10 
POP-19 	 0 	 0 	 0 	 0 	 0 	 0 	 49.3274 	 27858.6 	 769678 	 4.31434e+07 	 8.15608e+09 	 8.31366e+11 
POP-20 	 0 	 0 	 0 	 0 	 0 	 0 	 22.0707 	 998.48 	 35064.3 	 2.26494e+06 	 1.12932e+08 	 1.96207e+10 
POP-21 	 0 	 0 	 0 	 0 	 0 	 0 	 38.3334 	 5158.1 	 547322 	 2.80159e+07 	 3.77639e+09 	 3.38096e+11 
POP-22 	 0 	 0 	 0 	 0 	 0 	 0 	 83.5009 	 3450.9 	 183859 	 1.37097e+07 	 3.24824e+08 	 1.99238e+10 
POP-23 	 1 	 1 	 1 	 1 	 1 	 1 	 91.7206 	 3093.53 	 389582 	 2.25662e+07 	 1.64514e+09 	 1.71911e+11 
POP-24 	 1 	 1 	 1 	 1 	 1 	 1 	 37.2707 	 2266.15 	 165428 	 1.20654e+07 	 5.37813e+08 	 3.6655e+10 
POP-25 	 1 	 1 	 1 	 1 	 1 	 1 	 27.3147 	 807.922 	 18429.4 	 1.9149e+06 	 1.40575e+08 	 1.00605e+10 
POP-26 	 0 	 0 	 0 	 0 	 0 	 0 	 49.1756 	 1327.51 	 98135.3 	 5.50823e+06 	 1.16304e+09 	 4.09682e+10 
POP-27 	 0 	 0 	 0 	 0 	 0 	 0 	 29.2262 	 2492.55 	 183225 	 2.43126e+07 	 1.25563e+09 	 3.50868e+10 
POP-28 	 0 	 0 	 0 	 0 	 0 	 0 	 45.4933 	 1861.7 	 119128 	 6.69952e+06 	 8.27179e+08 	 5.71379e+10 
POP-29 	 1 	 1 	 1 	 1 	 1 	 1 	 80.0408 	 3336.08 	 1.03616e+06 	 8.87459e+07 	 2.01773e+10 	 1.04472e+12 
POP-30 	 0 	 0 	 0 	 0 	 0 	 0 	 78.2141 	 5409.85 	 458947 	 1.83814e+07 	 1.68861e+09 	 6.86648e+10 
POP-31 	 0 	 0 	 0 	 0 	 0 	 0 	 43.8564 	 3620.49 	 606742 	 7.81368e+07 	 5.81593e+09 	 1.2862e+12 
POP-32 	 1 	 1 	 1 	 1 	 1 	 1 	 27.7926 	 2423.63 	 66057.1 	 5.75682e+06 	 2.02304e+08 	 1.94102e+10 
POP-33 	 1 	 1 	 1 	 1 	 1 	 1 	 14.1076 	 437.434 	 110342 	 8.10212e+06 	 3.76537e+08 	 3.01053e+10 
POP-34 	 1 	 1 	 1 	 1 	 1 	 1 	 55.6411 	 2622.74 	 164384 	 1.81853e+07 	 7.16852e+08 	 3.52766e+10 
POP-35 	 1 	 1 	 1 	 1 	 1 	 1 	 17.9575 	 1672.93 	 193370 	 3.35075e+07 	 4.18581e+09 	 2.19592e+11 
POP-36 	 0 	 0 	 0 	 0 	 0 	 0 	 69.6203 	 5428.73 	 293261 	 9.24245e+06 	 1.28798e+09 	 1.05821e+11 
POP-37 	 1 	 1 	 1 	 1 	 1 	 1 	 36.6887 	 9990.76 	 614097 	 3.65791e+07 	 1.05452e+09 	 4.38351e+10 
POP-38 	 0 	 0 	 0 	 0 	 0 	 0 	 62.2662 	 4841.74 	 598537 	 3.87429e+07 	 7.21873e+09 	 4.15984e+11 
POP-39 	 0 	 0 	 0 	 0 	 0 	 0 	 21.0806 	 1502.83 	 122253 	 9.84988e+06 	 6.82162e+08 	 8.53491e+10 
POP-40 	 0 	 0 	 0 	 0 	 0 	 0 	 46.3179 	 3998.97 	 230889 	 9.0115e+06 	 3.54269e+08 	 3.70786e+10 
POP-41 	 1 	 1 	 1 	 1 	 1 	 1 	 25.71 	 3160.3 	 172069 	 1.33956e+07 	 1.01921e+09 	 6.444e+10 
POP-42 	 1.66667e-05 	 0 	 0 	 0 	 0 	 0 	 48.1905 	 1948.38 	 467047 	 7.87183e+07 	 5.98546e+09 	 5.40605e+11 
POP-43 	 0 	 0 	 0 	 0 	 0 	 0 	 54.1159 	 2494.59 	 179706 	 1.99852e+07 	 7.72208e+08 	 3.46065e+10 
POP-44 	 1 	 1 	 1 	 1 	 1 	 1 	 32.938 	 2435.99 	 128460 	 1.17193e+07 	 8.91484e+08 	 5.42621e+10 
POP-45 	 0 	 0 	 0 	 0 	 0 	 0 	 32.2011 	 1604.76 	 96745 	 2.52068e+06 	 7.2122e+08 	 2.60456e+10 
POP-46 	 1 	 1 	 1 	 1 	 1 	 1 	 34.1175 	 1350.18 	 84096.6 	 3.29852e+06 	 4.02396e+08 	 5.05469e+10 
POP-47 	 1 	 1 	 1 	 1 	 1 	 1 	 31.8615 	 926.041 	 100410 	 6.60762e+06 	 2.78801e+08 	 1.19757e+10 
