Population	 Frequency at Bottleneck 10	 Frequency at Bottleneck 20	 Frequency at Bottleneck 30	 Frequency at Bottleneck 40	 Frequency at Bottleneck 50	 Frequency at Bottleneck 60	 Whole Population Fitness Average at Bottleneck 10	 Whole Population Fitness Average at Bottleneck 20	 Whole Population Fitness Average at Bottleneck 30	 Whole Population Fitness Average at Bottleneck 40	 Whole Population Fitness Average at Bottleneck 50	 Whole Population Fitness Average at Bottleneck 60
POP-1 	 0.492483 	 0.494575 	 0.49235 	 0.4923 	 0.490283 	 0.487008 	 1.00001 	 1.00003 	 1.00019 	 1.00071 	 1.00305 	 1.01083 
POP-2 	 0.509058 	 0.506017 	 0.507658 	 0.498125 	 0.333825 	 0.0353167 	 1 	 1.00002 	 1.00017 	 1.00178 	 1.02669 	 1.06244 
POP-3 	 0.5079 	 0.508583 	 0.512958 	 0.521592 	 0.600292 	 0.790992 	 1 	 1.00004 	 1.00017 	 1.00115 	 1.00591 	 1.01863 
POP-4 	 0.488608 	 0.488325 	 0.488775 	 0.496883 	 0.524658 	 0.6195 	 1 	 1.00002 	 1.00012 	 1.00076 	 1.00444 	 1.017 
POP-5 	 0.511983 	 0.533633 	 0.536917 	 0.5353 	 0.44285 	 0.21385 	 1 	 1.00003 	 1.00016 	 1.00113 	 1.00648 	 1.01963 
POP-6 	 0.492292 	 0.476683 	 0.479933 	 0.491108 	 0.606767 	 0.847775 	 1 	 1.00001 	 1.0002 	 1.00142 	 1.00929 	 1.02718 
POP-7 	 0.482275 	 0.474692 	 0.479467 	 0.468317 	 0.365542 	 0.23905 	 1.00001 	 1.00016 	 1.00159 	 1.01731 	 1.04452 	 1.05042 
POP-8 	 0.505217 	 0.505333 	 0.502642 	 0.490233 	 0.493983 	 0.466292 	 1.00001 	 1.00003 	 1.00009 	 1.00049 	 1.00237 	 1.00953 
POP-9 	 0.500967 	 0.486783 	 0.487092 	 0.494333 	 0.532358 	 0.632425 	 1.00001 	 1.00002 	 1.00007 	 1.00044 	 1.00223 	 1.009 
POP-10 	 0.496675 	 0.486125 	 0.455567 	 0.3029 	 0.0547083 	 0.004475 	 1 	 1.00014 	 1.00179 	 1.01655 	 1.03998 	 1.04535 
POP-11 	 0.500808 	 0.489267 	 0.477342 	 0.470983 	 0.451675 	 0.363533 	 1.00001 	 1.00004 	 1.00014 	 1.0007 	 1.00362 	 1.0134 
POP-12 	 0.483617 	 0.473933 	 0.466533 	 0.43335 	 0.239217 	 0.0526917 	 1.00002 	 1.00007 	 1.00061 	 1.005 	 1.02863 	 1.04503 
POP-13 	 0.502175 	 0.483983 	 0.473733 	 0.474508 	 0.5153 	 0.682042 	 1 	 1.00002 	 1.00014 	 1.00117 	 1.00823 	 1.02702 
POP-14 	 0.510008 	 0.5156 	 0.527083 	 0.659525 	 0.938525 	 0.997708 	 1.00002 	 1.00014 	 1.00169 	 1.01429 	 1.04562 	 1.07149 
POP-15 	 0.509367 	 0.502517 	 0.4977 	 0.476933 	 0.414125 	 0.255158 	 1 	 1.00003 	 1.00024 	 1.00171 	 1.00868 	 1.02331 
POP-16 	 0.490742 	 0.489675 	 0.490867 	 0.433075 	 0.265667 	 0.0763583 	 1.00001 	 1.00012 	 1.00069 	 1.00389 	 1.01407 	 1.02597 
POP-17 	 0.505308 	 0.507725 	 0.512358 	 0.538033 	 0.703967 	 0.912692 	 1.00001 	 1.00006 	 1.00041 	 1.00314 	 1.01616 	 1.03283 
POP-18 	 0.512783 	 0.503458 	 0.485967 	 0.336392 	 0.0796333 	 0.0181167 	 1.00001 	 1.00018 	 1.00196 	 1.01562 	 1.03787 	 1.04288 
POP-19 	 0.502075 	 0.508933 	 0.531075 	 0.61225 	 0.844425 	 0.946683 	 1.00002 	 1.00008 	 1.00089 	 1.00804 	 1.02992 	 1.04074 
POP-20 	 0.494317 	 0.505525 	 0.512292 	 0.539183 	 0.617533 	 0.747175 	 1 	 1.00003 	 1.00024 	 1.0012 	 1.00506 	 1.01518 
