Population	 Frequency at Bottleneck 10	 Frequency at Bottleneck 20	 Frequency at Bottleneck 30	 Frequency at Bottleneck 40	 Frequency at Bottleneck 50	 Frequency at Bottleneck 60	 Whole Population Fitness Average at Bottleneck 10	 Whole Population Fitness Average at Bottleneck 20	 Whole Population Fitness Average at Bottleneck 30	 Whole Population Fitness Average at Bottleneck 40	 Whole Population Fitness Average at Bottleneck 50	 Whole Population Fitness Average at Bottleneck 60
POP-1 	 0.998525 	 1 	 1 	 1 	 1 	 1 	 1.42334 	 2.39918 	 4.35139 	 7.08179 	 14.5906 	 18.5564 
POP-2 	 1 	 1 	 1 	 1 	 1 	 1 	 1.64176 	 2.54589 	 7.61165 	 12.5507 	 19.3581 	 30.7019 
POP-3 	 1 	 1 	 1 	 1 	 1 	 1 	 1.51073 	 3.25261 	 8.16185 	 19.7755 	 26.5968 	 45.0776 
POP-4 	 0.0052 	 0 	 0 	 0 	 0 	 0 	 1.33897 	 1.64683 	 2.12362 	 3.19394 	 3.93739 	 8.48783 
POP-5 	 0.760825 	 0.999983 	 1 	 1 	 1 	 1 	 1.12697 	 1.80286 	 3.02758 	 3.80098 	 5.63489 	 8.28081 
POP-6 	 0.0992833 	 0 	 0 	 0 	 0 	 0 	 1.30143 	 1.83395 	 2.51427 	 4.94944 	 6.42292 	 9.80184 
POP-7 	 0.00139167 	 0 	 0 	 0 	 0 	 0 	 1.41502 	 2.05183 	 3.10349 	 5.93139 	 9.421 	 15.3304 
POP-8 	 0.703175 	 0.999858 	 1 	 1 	 1 	 1 	 1.10311 	 1.76059 	 3.81189 	 5.57549 	 8.50435 	 11.9385 
POP-9 	 0.2381 	 0.000666667 	 0 	 0 	 0 	 0 	 1.35031 	 1.56419 	 2.10128 	 2.91909 	 3.84107 	 6.54969 
POP-10 	 0.50295 	 0.996042 	 1 	 1 	 1 	 1 	 1.01853 	 1.85631 	 2.63851 	 3.24353 	 4.60671 	 7.03246 
POP-11 	 0.953133 	 0.0247417 	 0 	 0 	 0 	 0 	 1.46866 	 2.10608 	 4.004 	 5.27507 	 10.3592 	 19.2218 
POP-12 	 0.709567 	 0.947283 	 5.83333e-05 	 0 	 0 	 0 	 1.24848 	 1.77203 	 3.7904 	 5.31704 	 6.93321 	 12.2792 
POP-13 	 0.449033 	 0.000183333 	 0 	 0 	 0 	 0 	 1.15981 	 1.77696 	 3.01973 	 4.54367 	 7.50021 	 10.2298 
POP-14 	 0.954525 	 1 	 1 	 1 	 1 	 1 	 1.34557 	 2.23107 	 4.49036 	 6.97103 	 12.2067 	 17.0425 
POP-15 	 0.817792 	 1 	 1 	 1 	 1 	 1 	 1.23672 	 2.08694 	 4.65246 	 8.69912 	 12.3027 	 26.1487 
POP-16 	 0.0186083 	 8.33333e-06 	 0 	 0 	 0 	 0 	 1.32969 	 1.90389 	 4.79364 	 8.67734 	 11.4309 	 22.1271 
POP-17 	 0.992867 	 1 	 1 	 1 	 1 	 1 	 1.38072 	 1.92204 	 3.28822 	 5.46879 	 9.14477 	 22.6913 
POP-18 	 0.417958 	 0.0195583 	 0.680492 	 1 	 1 	 1 	 1.04487 	 1.52165 	 2.40626 	 3.36056 	 3.93101 	 6.69044 
POP-19 	 0.774642 	 1 	 1 	 1 	 1 	 1 	 1.1177 	 2.04824 	 3.13326 	 5.62348 	 8.03388 	 11.2949 
POP-20 	 0.13205 	 0 	 0 	 0 	 0 	 0 	 1.44164 	 2.08746 	 3.58374 	 6.96784 	 14.2874 	 22.7711 
POP-21 	 0.987575 	 1 	 1 	 1 	 1 	 1 	 1.33041 	 2.36906 	 3.64153 	 4.95055 	 9.73907 	 15.7152 
POP-22 	 0.986917 	 1 	 1 	 1 	 1 	 1 	 1.29496 	 3.04932 	 4.96686 	 6.16226 	 9.80845 	 15.8906 
POP-23 	 0.9997 	 1 	 1 	 1 	 1 	 1 	 1.68117 	 2.87598 	 4.38798 	 5.7837 	 11.3027 	 15.4236 
POP-24 	 0.304442 	 0.000566667 	 0 	 0 	 0 	 0 	 1.39441 	 1.65465 	 2.22509 	 3.22143 	 6.75902 	 9.70356 
POP-25 	 0 	 0 	 0 	 0 	 0 	 0 	 1.52883 	 2.42067 	 3.68001 	 4.71146 	 6.32325 	 13.0348 
POP-26 	 0.969 	 0.999958 	 1 	 1 	 1 	 1 	 1.34176 	 1.86338 	 2.82829 	 3.70998 	 7.04234 	 8.67015 
POP-27 	 0.543608 	 1 	 1 	 1 	 1 	 1 	 1.02814 	 1.99315 	 4.80082 	 6.70289 	 13.1043 	 21.6113 
POP-28 	 0.558975 	 1 	 1 	 1 	 1 	 1 	 1.02649 	 2.11661 	 5.75752 	 7.82846 	 9.40502 	 13.9836 
POP-29 	 0.50475 	 0.999542 	 1 	 1 	 1 	 1 	 1.1367 	 1.69751 	 2.80865 	 4.94855 	 10.37 	 15.8473 
POP-30 	 0.997092 	 1 	 1 	 1 	 1 	 1 	 1.45894 	 2.69524 	 6.29688 	 9.52482 	 13.1252 	 26.7829 
POP-31 	 0.963167 	 1 	 1 	 1 	 1 	 1 	 1.33211 	 2.68868 	 4.19365 	 7.0475 	 13.9882 	 20.1896 
POP-32 	 0.421883 	 0.000383333 	 0 	 0 	 0 	 0 	 1.05726 	 1.99872 	 4.71444 	 8.30069 	 11.0309 	 24.6725 
POP-33 	 0.991533 	 1 	 1 	 1 	 1 	 1 	 1.4215 	 2.12968 	 3.24512 	 6.36349 	 8.72236 	 13.5234 
POP-34 	 0 	 0 	 0 	 0 	 0 	 0 	 1.74518 	 2.45548 	 3.5499 	 4.55672 	 9.06435 	 17.6725 
