Population,Generation,GFP,wbar,ubar
9,9,0.0,1.4616526040914692,2.03477
9,10,0.0,1.477328007391796,2.17046
9,11,0.0,1.5311308639606702,2.5881
9,12,0.0,1.609684428738361,2.93319
10,0,0.5,1.0,0.0
10,1,0.4958,1.0000430327514607,0.00125
10,2,0.50271,1.0002340406058619,0.00416
10,3,0.50056,1.0019085726918173,0.02197
10,4,0.53526,1.0211994654214611,0.19226
10,5,0.7285,1.1026611587989936,0.80779
10,6,0.88179,1.1421997516821538,1.01454
10,7,0.93363,1.1566259157644885,1.08143
10,8,0.93868,1.1788078435713976,1.29197
10,9,0.97681,1.3391300330512454,2.45718
10,10,0.99932,1.4165158124011108,2.97575
10,11,1.0,1.435776916818318,3.06495
10,12,1.0,1.6553005508827774,3.84642
11,0,0.5,1.0,0.0
11,1,0.50706,1.000039183919189,0.00102
11,2,0.50362,1.000234504080272,0.00399
11,3,0.49862,1.0021335356060004,0.02449
11,4,0.47233,1.0189183090753868,0.1955
11,5,0.3896,1.0746086289369166,0.73949
11,6,0.34604,1.1083357061327517,1.0537
11,7,0.21444,1.1641383134141974,1.47861
11,8,0.0299,1.2297526360059616,1.93991
11,9,0.00204,1.244743758995151,2.03755
11,10,0.00017,1.2871277662777765,2.3485
11,11,0.0,1.3587140441926264,2.87323
11,12,0.0,1.3964387640729141,3.09317
12,0,0.5,1.0,0.0
12,1,0.49288,1.0001455057858808,0.00212
12,2,0.48787,1.0022767774210695,0.02092
12,3,0.43239,1.0315948881276282,0.25672
12,4,0.26056,1.1118992544190451,0.876
12,5,0.19785,1.131358064038166,1.00321
12,6,0.17458,1.1395136013331075,1.04689
12,7,0.12702,1.1673719754347756,1.27775
12,8,0.04757,1.2228138337419299,1.7786
12,9,0.00923,1.2516480583193996,2.00944
12,10,0.01542,1.2690409821986086,2.09786
12,11,0.0999,1.3053837474499599,2.26283
12,12,0.2453,1.374957318375366,2.57055
13,0,0.5,1.0,0.0
13,1,0.50728,1.0000688761847305,0.00174
13,2,0.50577,1.0009755359480232,0.01216
13,3,0.51673,1.0182824682570741,0.13498
13,4,0.67756,1.144489053738652,0.87545
13,5,0.70571,1.1795969312480743,1.04839
13,6,0.65273,1.1841918042173365,1.09214
13,7,0.5961,1.198488486493827,1.19795
13,8,0.13627,1.3971481258959588,1.87403
13,9,0.0034,1.4551391232642017,2.01886
13,10,3e-05,1.54233136326065,2.38448
13,11,0.0,1.6861468194058813,2.97345
13,12,0.0,1.700428973229473,3.03144
14,0,0.5,1.0,0.0
14,1,0.50923,1.0000825925159336,0.00172
14,2,0.51016,1.0008460147181195,0.01118
14,3,0.5456,1.014508090917541,0.11379
14,4,0.83342,1.1117596387116464,0.76572
14,5,0.96374,1.149733602544029,1.00057
14,6,0.99159,1.275011954501665,1.47665
14,7,0.99994,1.41564584624023,1.99656
14,8,1.0,1.432276233221782,2.06293
