Population	 Frequency at Bottleneck 10	 Frequency at Bottleneck 20	 Frequency at Bottleneck 30	 Frequency at Bottleneck 40	 Frequency at Bottleneck 50	 Frequency at Bottleneck 60	 Whole Population Fitness Average at Bottleneck 10	 Whole Population Fitness Average at Bottleneck 20	 Whole Population Fitness Average at Bottleneck 30	 Whole Population Fitness Average at Bottleneck 40	 Whole Population Fitness Average at Bottleneck 50	 Whole Population Fitness Average at Bottleneck 60
POP-1 	 0.496492 	 0.491725 	 0.495108 	 0.489083 	 0.487325 	 0.487083 	 1 	 1 	 1 	 1.00002 	 1.00005 	 1.00008 
POP-2 	 0.499842 	 0.500167 	 0.496192 	 0.480692 	 0.481 	 0.476925 	 1 	 1 	 1 	 1 	 1.00001 	 1.00008 
POP-3 	 0.497317 	 0.503358 	 0.488683 	 0.403225 	 0.187208 	 0.0366333 	 1.00001 	 1.0001 	 1.00092 	 1.0062 	 1.02128 	 1.03128 
POP-4 	 0.505 	 0.499125 	 0.4986 	 0.482042 	 0.48535 	 0.502025 	 1.00001 	 1.00001 	 1.00002 	 1.00009 	 1.00041 	 1.00146 
POP-5 	 0.5077 	 0.4894 	 0.5013 	 0.492392 	 0.489708 	 0.495975 	 1 	 1 	 1.00001 	 1.00004 	 1.00018 	 1.0009 
POP-6 	 0.493608 	 0.495208 	 0.498792 	 0.506917 	 0.505283 	 0.492375 	 1 	 1.00001 	 1.00002 	 1.00005 	 1.00029 	 1.0014 
POP-7 	 0.503508 	 0.525317 	 0.536392 	 0.5288 	 0.5183 	 0.522825 	 1 	 1 	 1.00001 	 1.00001 	 1.00007 	 1.00025 
POP-8 	 0.502817 	 0.505458 	 0.514633 	 0.517833 	 0.528442 	 0.545192 	 1 	 1 	 1.00001 	 1.00007 	 1.00023 	 1.00106 
POP-9 	 0.487333 	 0.504792 	 0.509567 	 0.510133 	 0.516533 	 0.500833 	 1 	 1 	 1 	 1 	 1.00001 	 1.00002 
POP-10 	 0.498142 	 0.507083 	 0.514425 	 0.503092 	 0.449908 	 0.294483 	 1 	 1.00002 	 1.00016 	 1.00079 	 1.00335 	 1.01139 
