Population	 Frequency at Bottleneck 5	 Frequency at Bottleneck 10	 Frequency at Bottleneck 15	 Frequency at Bottleneck 20	 Whole Population Fitness Average at Bottleneck 5	 Whole Population Fitness Average at Bottleneck 10	 Whole Population Fitness Average at Bottleneck 15	 Whole Population Fitness Average at Bottleneck 20
POP-36 	 0.503083 	 0.4991 	 0.483333 	 0.168575 	 1.00003 	 1.00022 	 1.00392 	 1.21966 
POP-37 	 0.494033 	 0.49035 	 0.914975 	 0.990308 	 1.00001 	 1.00425 	 1.16597 	 1.19869 
POP-38 	 0.500067 	 0.503183 	 0.655225 	 0.997842 	 1 	 1.00013 	 1.08403 	 1.26255 
POP-39 	 0.502742 	 0.502517 	 0.00495833 	 0.000575 	 1 	 1.00209 	 1.40452 	 1.40715 
POP-40 	 0.499167 	 0.625375 	 0.99505 	 1 	 1.00023 	 1.05156 	 1.21025 	 1.21286 
POP-41 	 0.496833 	 0.490767 	 0.486783 	 0.495558 	 1 	 1 	 1 	 1 
POP-42 	 0.5032 	 0.50675 	 0.50115 	 0.48735 	 1 	 1 	 1.00001 	 1.00002 
POP-43 	 0.500125 	 0.498983 	 0.499667 	 0.875925 	 1 	 1.00006 	 1.00099 	 1.20521 
POP-44 	 0.498975 	 0.000275 	 0 	 0 	 1.00044 	 1.63066 	 1.63101 	 1.63103 
POP-45 	 0.510542 	 0.514642 	 0.54955 	 0.741558 	 1.00005 	 1.00063 	 1.00651 	 1.04085 
POP-46 	 0.494433 	 0.457833 	 0.04655 	 0.000583333 	 1.00011 	 1.0108 	 1.15956 	 1.17677 
POP-47 	 0.490242 	 0.003675 	 0 	 0 	 1.00403 	 1.36548 	 1.90212 	 1.93746 
POP-48 	 0.452825 	 8.33333e-05 	 0 	 0 	 1.04431 	 1.43721 	 1.46133 	 1.98578 
POP-49 	 0.503267 	 0.498592 	 0.518108 	 0.85555 	 1.00001 	 1.00023 	 1.00774 	 1.09458 
POP-50 	 0.486 	 0.485733 	 4.16667e-05 	 0 	 1.00004 	 1.0056 	 1.62078 	 1.63911 
POP-51 	 0.505625 	 0.501725 	 0.4914 	 0.036725 	 1 	 1.00001 	 1.00491 	 1.22035 
POP-52 	 0.497625 	 0.85565 	 0.999892 	 1 	 1.00015 	 1.24829 	 1.34316 	 1.34317 
POP-53 	 0.493467 	 0.490375 	 0.9184 	 0.999958 	 1 	 1.00166 	 1.20966 	 1.24939 
POP-54 	 0.507892 	 0.526217 	 0.673492 	 0.07105 	 1.00006 	 1.00742 	 1.18266 	 1.29914 
POP-55 	 0.505642 	 0.6661 	 0.997717 	 1 	 1.00019 	 1.07368 	 1.23007 	 1.42089 
POP-56 	 0.502692 	 0.52 	 0.9998 	 1 	 1.00002 	 1.01092 	 1.4508 	 1.45123 
POP-57 	 0.496475 	 0.496125 	 0.00374167 	 0 	 1 	 1.00392 	 1.37671 	 1.37929 
POP-58 	 0.494758 	 0.669633 	 0.950342 	 0.894125 	 1.00013 	 1.08466 	 1.24717 	 1.24999 
POP-59 	 0.50055 	 0.503042 	 0.504192 	 0.0572333 	 1 	 1 	 1.00085 	 1.27181 
POP-60 	 0.50005 	 0.496858 	 0.50595 	 0.530983 	 1 	 1 	 1.00007 	 1.03798 
POP-61 	 0.507558 	 0.519842 	 0.521017 	 0.5148 	 1 	 1.00001 	 1.00008 	 1.00046 
POP-62 	 0.508108 	 0.596492 	 0.988008 	 0.999942 	 1.00024 	 1.03625 	 1.18162 	 1.18588 
POP-63 	 0.501025 	 0.520292 	 0.915817 	 0.999342 	 1.00008 	 1.00692 	 1.14472 	 1.1746 
POP-64 	 0.4977 	 0.4001 	 0.0019 	 0 	 1.00014 	 1.05263 	 1.25598 	 1.25881 
POP-65 	 0.502033 	 0.508133 	 0.512925 	 0.873467 	 1.00001 	 1.00007 	 1.00079 	 1.2193 
POP-66 	 0.503692 	 0.509692 	 0.515525 	 0.599867 	 1 	 1.00004 	 1.00088 	 1.03279 
POP-67 	 0.49585 	 0.570342 	 0.993258 	 1 	 1.00016 	 1.03601 	 1.21353 	 1.22646 
POP-68 	 0.499467 	 0.519383 	 0.938558 	 0.999925 	 1.00005 	 1.00622 	 1.18973 	 1.28334 
POP-69 	 0.506342 	 0.789642 	 0.99975 	 1 	 1.00021 	 1.1656 	 1.30666 	 1.60849 
POP-70 	 0.506067 	 0.500642 	 0.506 	 0.433067 	 1 	 1.00001 	 1.0005 	 1.02056 
POP-71 	 0.505058 	 0.589842 	 0.266767 	 0.0766917 	 1.00024 	 1.03619 	 1.31931 	 1.37199 
POP-72 	 0.51215 	 0.507625 	 0.476883 	 0.0527667 	 1 	 1.00007 	 1.01032 	 1.18113 
POP-73 	 0.496183 	 0.4918 	 0.103042 	 0.000316667 	 1 	 1.00166 	 1.18581 	 1.23465 
POP-74 	 0.499875 	 0.490542 	 0.478942 	 0.276108 	 1 	 1.00006 	 1.00204 	 1.05826 
POP-75 	 0.50215 	 0.0601083 	 0 	 0 	 1.00059 	 1.28144 	 1.31963 	 1.31998 
POP-76 	 0.4948 	 0.490517 	 0.527183 	 0.998925 	 1 	 1.00007 	 1.03551 	 1.4033 
POP-77 	 0.504683 	 0.503325 	 0.501317 	 0.441817 	 1 	 1.00001 	 1.00058 	 1.01483 
POP-78 	 0.5005 	 0.605158 	 0.997633 	 1 	 1.00008 	 1.05152 	 1.25235 	 1.25841 
POP-79 	 0.498183 	 0.4953 	 0.139808 	 0.000483333 	 1.00002 	 1.00198 	 1.16044 	 1.36155 
POP-80 	 0.499658 	 0.465092 	 0.00369167 	 0.0002 	 1 	 1.01806 	 1.2957 	 1.30395 
POP-81 	 0.500483 	 0.435608 	 9.16667e-05 	 0 	 1.00001 	 1.05446 	 1.40561 	 1.4059 
POP-82 	 0.503 	 0.529517 	 0.978567 	 0.99995 	 1.00001 	 1.01079 	 1.22104 	 1.25143 
POP-83 	 0.4942 	 0.491808 	 0.499025 	 0.909625 	 1 	 1 	 1.00244 	 1.18416 
POP-84 	 0.50785 	 0.478425 	 0.0980417 	 0.000966667 	 1.00009 	 1.00621 	 1.14049 	 1.17907 
POP-85 	 0.491025 	 0.493333 	 0.504208 	 0.50745 	 1 	 1.00001 	 1.00001 	 1.00004 
POP-86 	 0.493933 	 0.488283 	 0.444217 	 0.06075 	 1 	 1.00019 	 1.01477 	 1.13362 
POP-87 	 0.499925 	 0.495108 	 0.499825 	 0.127158 	 1 	 1.00003 	 1.00324 	 1.14236 
POP-88 	 0.501533 	 0.501875 	 0.503733 	 0.976917 	 1 	 1 	 1.0028 	 1.28158 
POP-89 	 0.4949 	 0.533875 	 0.990633 	 0.999975 	 1.00001 	 1.01713 	 1.23734 	 1.24264 
POP-90 	 0.494 	 0.491725 	 0.470308 	 0.0702583 	 1.00001 	 1.00024 	 1.00407 	 1.23213 
POP-91 	 0.495792 	 0.49205 	 0.493933 	 0.011225 	 1 	 1.00005 	 1.00403 	 1.43779 
POP-92 	 0.501208 	 0.502 	 0.503842 	 0.503792 	 1 	 1 	 1 	 1.00057 
POP-93 	 0.498933 	 0.500433 	 0.510333 	 0.87635 	 1 	 1.00001 	 1.00382 	 1.20408 
POP-94 	 0.511075 	 0.498258 	 0.494008 	 0.492933 	 1 	 1 	 1 	 1.00001 
POP-95 	 0.5086 	 0.505158 	 0.579758 	 0.999992 	 1 	 1 	 1.07881 	 1.51736 
POP-96 	 0.503908 	 0.500358 	 0.815083 	 1 	 1.00001 	 1.00002 	 1.36519 	 1.57929 
POP-97 	 0.499058 	 0.5076 	 0.603383 	 0.540625 	 1.00003 	 1.00111 	 1.0287 	 1.16387 
POP-98 	 0.510042 	 0.512717 	 0.50775 	 0.509442 	 1 	 1.00003 	 1.00015 	 1.00512 
POP-99 	 0.506025 	 0.61695 	 0.993992 	 0.999992 	 1.00023 	 1.04819 	 1.216 	 1.24144 
POP-100 	 0.490508 	 0.490533 	 0.5568 	 0.99995 	 1 	 1.00031 	 1.03551 	 1.65101 
