Population	 Frequency at Bottleneck 5	 Frequency at Bottleneck 10	 Frequency at Bottleneck 15	 Frequency at Bottleneck 20	 Whole Population Fitness Average at Bottleneck 5	 Whole Population Fitness Average at Bottleneck 10	 Whole Population Fitness Average at Bottleneck 15	 Whole Population Fitness Average at Bottleneck 20
POP-1 	 0.497783 	 0.500383 	 0.498967 	 0.593958 	 1 	 1.00006 	 1.00103 	 1.02284 
POP-2 	 0.50565 	 0.180375 	 0.000191667 	 0 	 1.00051 	 1.16487 	 1.25574 	 1.26195 
POP-3 	 0.500567 	 0.489892 	 0.489242 	 0.182667 	 1 	 1.00002 	 1.00159 	 1.12967 
POP-4 	 0.64995 	 0.999917 	 1 	 1 	 1.12603 	 1.44855 	 1.45944 	 1.89604 
POP-5 	 0.506292 	 0.5107 	 0.502583 	 0.500817 	 1 	 1 	 1.00001 	 1.00028 
POP-6 	 0.497083 	 0.502808 	 0.504092 	 0.399625 	 1 	 1.00003 	 1.00038 	 1.08155 
POP-7 	 0.498308 	 0.26385 	 0.000108333 	 0 	 1.0001 	 1.14921 	 1.31879 	 1.36171 
POP-8 	 0.492867 	 0.491592 	 0.498867 	 0.906767 	 1 	 1.00009 	 1.0058 	 1.2289 
POP-9 	 0.494983 	 0.504742 	 0.507517 	 0.507433 	 1 	 1.00001 	 1.00017 	 1.00771 
POP-10 	 0.500308 	 0.503008 	 0.4975 	 0.501917 	 1 	 1 	 1.00004 	 1.00021 
POP-11 	 0.502692 	 0.683017 	 0.998792 	 1 	 1.00033 	 1.08782 	 1.23485 	 1.67218 
POP-12 	 0.498508 	 0.514575 	 0.502983 	 0.000625 	 1 	 1 	 1.01818 	 1.38012 
POP-13 	 0.497742 	 0.497967 	 0.141233 	 0.000108333 	 1.00001 	 1.00057 	 1.18767 	 1.45004 
POP-14 	 0.503283 	 0.502992 	 0.0436917 	 0 	 1 	 1.00026 	 1.35394 	 1.38722 
POP-15 	 0.504958 	 0.506175 	 0.506775 	 0.293833 	 1 	 1.00001 	 1.00762 	 1.37265 
POP-16 	 0.497292 	 0.497733 	 0.51765 	 0.932375 	 1.00001 	 1.00007 	 1.00723 	 1.16468 
POP-17 	 0.502133 	 0.246267 	 0.000558333 	 0 	 1.00023 	 1.13132 	 1.26024 	 1.26361 
POP-18 	 0.494425 	 0.263042 	 0.00145 	 0 	 1.00042 	 1.10448 	 1.21927 	 1.21986 
POP-19 	 0.499467 	 0.504975 	 0.47915 	 0.937942 	 1 	 1.00008 	 1.00692 	 1.40768 
POP-20 	 0.497983 	 0.498983 	 0.979767 	 1 	 1 	 1.00241 	 1.29902 	 1.31167 
POP-21 	 0.491442 	 0.483967 	 0.517775 	 0.854983 	 1.00002 	 1.00042 	 1.0097 	 1.08765 
POP-22 	 0.502775 	 0.502883 	 0.410425 	 0.00245833 	 1 	 1.00007 	 1.04734 	 1.25988 
POP-23 	 0.487983 	 0.48495 	 0.468292 	 0.200383 	 1 	 1.00008 	 1.00479 	 1.11549 
POP-24 	 0.498492 	 0.498192 	 0.4999 	 0.499667 	 1 	 1.00002 	 1.00006 	 1.00018 
POP-25 	 0.504783 	 0.50225 	 0.479725 	 0.467142 	 1 	 1.00008 	 1.00525 	 1.15596 
POP-26 	 0.50615 	 0.506083 	 0.504225 	 0.6978 	 1 	 1 	 1.0002 	 1.09558 
POP-27 	 0.503292 	 0.499433 	 0.876 	 0.9999 	 1.00001 	 1.00033 	 1.22778 	 1.30222 
POP-28 	 0.493592 	 0.50095 	 0.495125 	 0.496425 	 1 	 1 	 1.00001 	 1.00003 
POP-29 	 0.488575 	 0.49935 	 0.501917 	 0.506233 	 1 	 1 	 1 	 1 
POP-30 	 0.491008 	 0.489767 	 0.947575 	 0.999758 	 1 	 1.00117 	 1.31868 	 1.34701 
POP-31 	 0.504608 	 0.536833 	 0.981217 	 0.999258 	 1.00009 	 1.01579 	 1.21878 	 1.22586 
POP-32 	 0.504775 	 0.497908 	 0.458475 	 0.00815833 	 1 	 1.00004 	 1.01972 	 1.23584 
POP-33 	 0.492408 	 0.483075 	 0.483892 	 0.526708 	 1 	 1.00002 	 1.0002 	 1.01608 
POP-34 	 0.500625 	 8.33333e-06 	 0 	 0 	 1.01114 	 1.60515 	 1.60517 	 1.60533 
POP-35 	 0.509125 	 0.507542 	 0.513583 	 0.5345 	 1 	 1.00002 	 1.00023 	 1.00693 
