Population	 Frequency at Bottleneck 10	 Frequency at Bottleneck 20	 Frequency at Bottleneck 30	 Frequency at Bottleneck 40	 Frequency at Bottleneck 50	 Frequency at Bottleneck 60	 Whole Population Fitness Average at Bottleneck 10	 Whole Population Fitness Average at Bottleneck 20	 Whole Population Fitness Average at Bottleneck 30	 Whole Population Fitness Average at Bottleneck 40	 Whole Population Fitness Average at Bottleneck 50	 Whole Population Fitness Average at Bottleneck 60
POP-63 	 0.49549 	 0.49768 	 0.51513 	 0.57218 	 0.75524 	 0.91435 	 1.00004 	 1.00021 	 1.00113 	 1.00506 	 1.01561 	 1.02732 
POP-64 	 0.49992 	 0.50452 	 0.58494 	 0.93415 	 0.99696 	 0.99988 	 1.00002 	 1.00048 	 1.0107 	 1.05465 	 1.06707 	 1.09739 
POP-65 	 0.50917 	 0.51889 	 0.49256 	 0.13173 	 0.00339 	 0.00029 	 1.00001 	 1.00012 	 1.00353 	 1.0542 	 1.07121 	 1.07163 
POP-66 	 0.48853 	 0.47577 	 0.18848 	 0.01045 	 0.00013 	 0 	 1.00013 	 1.00332 	 1.03685 	 1.05703 	 1.05828 	 1.05847 
POP-67 	 0.49831 	 0.49189 	 0.4853 	 0.49006 	 0.5119 	 0.60062 	 1.00001 	 1.00005 	 1.00021 	 1.00111 	 1.00594 	 1.02184 
POP-68 	 0.50118 	 0.5054 	 0.52119 	 0.59486 	 0.87538 	 0.98984 	 1.00005 	 1.00025 	 1.00127 	 1.00833 	 1.03982 	 1.05481 
POP-69 	 0.49824 	 0.49482 	 0.51256 	 0.77986 	 0.91712 	 0.97361 	 1.00002 	 1.00012 	 1.00413 	 1.05387 	 1.07202 	 1.09917 
POP-70 	 0.49977 	 0.50636 	 0.50936 	 0.65587 	 0.9031 	 0.90616 	 1.00002 	 1.00012 	 1.00153 	 1.01875 	 1.04859 	 1.0534 
POP-71 	 0.50222 	 0.502 	 0.51601 	 0.52978 	 0.21872 	 0.02111 	 1.00003 	 1.00012 	 1.00064 	 1.00651 	 1.05615 	 1.07419 
POP-72 	 0.50206 	 0.4988 	 0.21946 	 0.00485 	 0.00019 	 0 	 1.00003 	 1.00126 	 1.04487 	 1.07856 	 1.08015 	 1.09116 
POP-73 	 0.49968 	 0.50242 	 0.51123 	 0.71028 	 0.97048 	 0.9972 	 1.00002 	 1.00016 	 1.00181 	 1.02683 	 1.05684 	 1.06064 
POP-74 	 0.49065 	 0.48436 	 0.48839 	 0.44273 	 0.37391 	 0.25273 	 1.00004 	 1.0002 	 1.00083 	 1.00337 	 1.01104 	 1.02237 
POP-75 	 0.49301 	 0.40548 	 0.01777 	 0.00027 	 0 	 0 	 1.00012 	 1.01432 	 1.08063 	 1.08473 	 1.11537 	 1.15817 
POP-76 	 0.49838 	 0.48573 	 0.43147 	 0.18296 	 0.03074 	 0.00622 	 1.00005 	 1.00066 	 1.00601 	 1.02725 	 1.0398 	 1.04166 
POP-77 	 0.51369 	 0.51764 	 0.51172 	 0.54597 	 0.64445 	 0.6595 	 1.00002 	 1.00007 	 1.0005 	 1.0048 	 1.02543 	 1.04224 
POP-78 	 0.50437 	 0.50556 	 0.5135 	 0.4774 	 0.11593 	 0.00536 	 1.00001 	 1.00007 	 1.0002 	 1.00446 	 1.05592 	 1.07173 
POP-79 	 0.5007 	 0.53811 	 0.88031 	 0.99415 	 0.99933 	 0.99985 	 1.00018 	 1.0056 	 1.04695 	 1.06157 	 1.06865 	 1.08817 
POP-80 	 0.50183 	 0.52085 	 0.68867 	 0.96363 	 0.99773 	 0.99967 	 1.00008 	 1.00136 	 1.01905 	 1.04953 	 1.05363 	 1.05492 
POP-81 	 0.48811 	 0.49047 	 0.48294 	 0.47986 	 0.47368 	 0.48071 	 1.00002 	 1.00004 	 1.00009 	 1.00023 	 1.00082 	 1.00296 
POP-82 	 0.4945 	 0.49923 	 0.50194 	 0.52209 	 0.63757 	 0.8578 	 1.00001 	 1.00004 	 1.0003 	 1.00261 	 1.01955 	 1.04439 
POP-83 	 0.50188 	 0.48996 	 0.4129 	 0.11065 	 0.03868 	 0.04613 	 1.00003 	 1.00041 	 1.0081 	 1.04752 	 1.05779 	 1.0586 
POP-84 	 0.49625 	 0.49232 	 0.48781 	 0.4718 	 0.17535 	 0.00668 	 1.00001 	 1.00005 	 1.00022 	 1.00311 	 1.0434 	 1.06825 
POP-85 	 0.4994 	 0.47839 	 0.47319 	 0.44509 	 0.24542 	 0.04178 	 1.00003 	 1.00007 	 1.00043 	 1.00347 	 1.02474 	 1.04572 
