Population	 Frequency at Bottleneck 10	 Frequency at Bottleneck 20	 Frequency at Bottleneck 30	 Frequency at Bottleneck 40	 Frequency at Bottleneck 50	 Frequency at Bottleneck 60	 Whole Population Fitness Average at Bottleneck 10	 Whole Population Fitness Average at Bottleneck 20	 Whole Population Fitness Average at Bottleneck 30	 Whole Population Fitness Average at Bottleneck 40	 Whole Population Fitness Average at Bottleneck 50	 Whole Population Fitness Average at Bottleneck 60
POP-1 	 0.504408 	 0.503983 	 0.518733 	 0.592192 	 0.747275 	 0.838717 	 1.00003 	 1.00027 	 1.0017 	 1.00761 	 1.02008 	 1.02829 
POP-2 	 0.506375 	 0.503092 	 0.48355 	 0.326242 	 0.047525 	 0.00304167 	 1.00002 	 1.00017 	 1.00167 	 1.01656 	 1.0476 	 1.05504 
POP-3 	 0.50745 	 0.518042 	 0.51575 	 0.453083 	 0.2503 	 0.110142 	 1.00001 	 1.00013 	 1.00106 	 1.00761 	 1.0261 	 1.03667 
POP-4 	 0.500758 	 0.514358 	 0.503967 	 0.515825 	 0.545142 	 0.63265 	 1.00001 	 1.00007 	 1.00038 	 1.00214 	 1.01093 	 1.0266 
POP-5 	 0.480842 	 0.480858 	 0.470167 	 0.436158 	 0.337808 	 0.2841 	 1.00004 	 1.0003 	 1.00168 	 1.00942 	 1.02587 	 1.03388 
POP-6 	 0.5057 	 0.499108 	 0.503883 	 0.610825 	 0.887858 	 0.972008 	 1.00002 	 1.00018 	 1.00181 	 1.01496 	 1.03947 	 1.04582 
POP-7 	 0.495842 	 0.495425 	 0.522517 	 0.580067 	 0.754808 	 0.881758 	 1.00002 	 1.00018 	 1.00152 	 1.01116 	 1.03427 	 1.04327 
POP-8 	 0.503 	 0.501183 	 0.498817 	 0.499733 	 0.484267 	 0.403317 	 1.00001 	 1.00011 	 1.00045 	 1.00183 	 1.0077 	 1.02716 
POP-9 	 0.495975 	 0.49465 	 0.504408 	 0.593808 	 0.688875 	 0.75015 	 1.00003 	 1.00026 	 1.00247 	 1.01557 	 1.0353 	 1.04927 
POP-10 	 0.504967 	 0.503383 	 0.499208 	 0.522858 	 0.556633 	 0.5849 	 1.00004 	 1.00029 	 1.003 	 1.01754 	 1.03511 	 1.03979 
POP-11 	 0.499167 	 0.505283 	 0.516467 	 0.563733 	 0.701467 	 0.87705 	 1.00003 	 1.00015 	 1.00077 	 1.00383 	 1.01326 	 1.02531 
POP-12 	 0.494717 	 0.502083 	 0.502167 	 0.46825 	 0.353292 	 0.182442 	 1.00002 	 1.00012 	 1.00047 	 1.00269 	 1.01137 	 1.02534 
POP-13 	 0.502992 	 0.505883 	 0.531525 	 0.713358 	 0.94695 	 0.992458 	 1.00003 	 1.00022 	 1.00255 	 1.01991 	 1.04297 	 1.05183 
