Population	 Frequency at Bottleneck 10	 Frequency at Bottleneck 20	 Frequency at Bottleneck 30	 Frequency at Bottleneck 40	 Frequency at Bottleneck 50	 Frequency at Bottleneck 60	 Whole Population Fitness Average at Bottleneck 10	 Whole Population Fitness Average at Bottleneck 20	 Whole Population Fitness Average at Bottleneck 30	 Whole Population Fitness Average at Bottleneck 40	 Whole Population Fitness Average at Bottleneck 50	 Whole Population Fitness Average at Bottleneck 60
POP-1 	 0 	 0 	 0 	 0 	 0 	 0 	 72097.4 	 2.58329e+10 	 2.22691e+15 	 2.85587e+20 	 5.13827e+24 	 7.7612e+29 
POP-2 	 0 	 0 	 0 	 0 	 0 	 0 	 67305.7 	 8.67995e+09 	 2.03197e+15 	 3.04042e+20 	 2.85381e+25 	 4.72074e+31 
POP-3 	 1 	 1 	 1 	 1 	 1 	 1 	 24887.5 	 3.31427e+09 	 3.10569e+14 	 2.54673e+19 	 1.6241e+25 	 1.43281e+30 
POP-4 	 0 	 0 	 0 	 0 	 0 	 0 	 44327 	 3.21355e+09 	 2.70562e+15 	 4.91563e+20 	 1.62384e+25 	 4.51518e+30 
POP-5 	 1 	 1 	 1 	 1 	 1 	 1 	 71764.3 	 8.89453e+09 	 2.72682e+15 	 1.0807e+20 	 1.04869e+25 	 4.10062e+30 
POP-6 	 1 	 1 	 1 	 1 	 1 	 1 	 122040 	 2.87941e+10 	 6.88677e+14 	 4.95141e+19 	 3.58484e+24 	 4.83643e+29 
POP-7 	 0 	 0 	 0 	 0 	 0 	 0 	 85589.3 	 5.97291e+09 	 1.27475e+14 	 2.67011e+19 	 1.37662e+24 	 3.43647e+29 
POP-8 	 1 	 1 	 1 	 1 	 1 	 1 	 23853 	 7.89181e+08 	 2.81983e+14 	 1.60332e+19 	 6.29402e+24 	 2.75226e+29 
POP-9 	 1 	 1 	 1 	 1 	 1 	 1 	 23079.9 	 2.45889e+09 	 1.4248e+15 	 6.24125e+20 	 5.81189e+26 	 3.22937e+32 
POP-10 	 0 	 0 	 0 	 0 	 0 	 0 	 66737.7 	 2.47312e+09 	 5.56622e+13 	 3.6844e+19 	 3.82252e+25 	 1.00103e+30 
POP-11 	 1 	 1 	 1 	 1 	 1 	 1 	 84596.2 	 5.73049e+11 	 1.18565e+16 	 8.86119e+20 	 1.27775e+26 	 9.73928e+30 
POP-12 	 1 	 1 	 1 	 1 	 1 	 1 	 74327.8 	 2.94313e+09 	 2.79361e+14 	 4.2449e+19 	 1.29306e+24 	 6.97398e+28 
POP-13 	 1 	 1 	 1 	 1 	 1 	 1 	 28560.6 	 1.72535e+09 	 6.45311e+13 	 3.63625e+19 	 1.64075e+24 	 1.11412e+30 
POP-14 	 0 	 0 	 0 	 0 	 0 	 0 	 39217.8 	 6.77231e+09 	 6.83047e+15 	 7.17298e+21 	 5.67569e+26 	 1.35557e+31 
POP-15 	 1 	 1 	 1 	 1 	 1 	 1 	 314910 	 1.14815e+10 	 1.37163e+16 	 6.24101e+20 	 9.37355e+24 	 1.75583e+29 
POP-16 	 1 	 1 	 1 	 1 	 1 	 1 	 57037.8 	 1.75526e+10 	 8.2641e+14 	 3.57071e+19 	 1.63869e+24 	 1.77203e+29 
POP-17 	 1 	 1 	 1 	 1 	 1 	 1 	 12697.4 	 4.52677e+09 	 8.82705e+14 	 1.4842e+19 	 2.5121e+23 	 4.64566e+28 
POP-18 	 0 	 0 	 0 	 0 	 0 	 0 	 27280.9 	 4.87637e+09 	 3.26425e+14 	 2.26752e+19 	 1.98431e+24 	 4.83124e+29 
POP-19 	 0 	 0 	 0 	 0 	 0 	 0 	 33968.6 	 3.53049e+09 	 2.1142e+14 	 3.6276e+18 	 3.71236e+23 	 5.21392e+28 
POP-20 	 0.0394083 	 0 	 0 	 0 	 0 	 0 	 5191.11 	 2.6565e+08 	 4.09073e+13 	 1.52447e+19 	 3.01753e+23 	 1.45538e+28 
POP-21 	 1 	 1 	 1 	 1 	 1 	 1 	 287055 	 2.89211e+11 	 7.33251e+16 	 4.76175e+21 	 3.61131e+26 	 3.32317e+32 
POP-22 	 1 	 1 	 1 	 1 	 1 	 1 	 77882.4 	 3.4678e+10 	 1.43322e+15 	 1.43441e+20 	 3.25437e+25 	 4.70056e+30 
POP-23 	 1 	 1 	 1 	 1 	 1 	 1 	 79664.1 	 1.72094e+10 	 1.39754e+15 	 5.95778e+19 	 1.32651e+25 	 1.09768e+31 
POP-24 	 1 	 1 	 1 	 1 	 1 	 1 	 164360 	 5.84843e+10 	 2.02147e+16 	 1.48772e+21 	 8.34686e+25 	 9.51841e+30 
POP-25 	 0 	 0 	 0 	 0 	 0 	 0 	 145413 	 2.32144e+10 	 3.02053e+15 	 8.8402e+19 	 5.5523e+25 	 1.72812e+31 
POP-26 	 0 	 0 	 0 	 0 	 0 	 0 	 92497.4 	 3.08563e+09 	 1.25855e+14 	 2.02008e+19 	 5.06657e+24 	 4.89493e+29 
