Population	 Frequency at Bottleneck 10	 Frequency at Bottleneck 20	 Frequency at Bottleneck 30	 Frequency at Bottleneck 40	 Frequency at Bottleneck 50	 Frequency at Bottleneck 60	 Whole Population Fitness Average at Bottleneck 10	 Whole Population Fitness Average at Bottleneck 20	 Whole Population Fitness Average at Bottleneck 30	 Whole Population Fitness Average at Bottleneck 40	 Whole Population Fitness Average at Bottleneck 50	 Whole Population Fitness Average at Bottleneck 60
POP-1 	 0.941925 	 1 	 1 	 1 	 1 	 1 	 1.40284 	 2.82374 	 3.53295 	 5.35649 	 8.05375 	 12.3015 
POP-2 	 0.398233 	 0.9989 	 1 	 1 	 1 	 1 	 1.30225 	 1.71509 	 2.60399 	 4.25545 	 6.77631 	 9.42438 
POP-3 	 0.988117 	 0.999975 	 1 	 1 	 1 	 1 	 1.28167 	 1.98382 	 2.84126 	 4.69898 	 7.22164 	 14.5225 
POP-4 	 0.264825 	 0 	 0 	 0 	 0 	 0 	 1.22835 	 1.94254 	 2.82168 	 4.39404 	 6.00359 	 11.0283 
POP-5 	 0.957683 	 1 	 1 	 1 	 1 	 1 	 1.23487 	 1.81476 	 2.38312 	 3.44879 	 6.32243 	 9.26322 
POP-6 	 0.459242 	 0.99995 	 1 	 1 	 1 	 1 	 1.34202 	 2.16206 	 3.62886 	 5.44398 	 8.04904 	 12.1821 
POP-7 	 0.999942 	 1 	 1 	 1 	 1 	 1 	 1.54659 	 2.58216 	 4.27925 	 5.90533 	 10.3984 	 14.9756 
POP-8 	 0.296183 	 0 	 0 	 0 	 0 	 0 	 1.34555 	 1.80761 	 2.53396 	 3.41593 	 5.30179 	 7.76418 
POP-9 	 0.895967 	 1 	 1 	 1 	 1 	 1 	 1.32353 	 2.18828 	 3.62078 	 5.0224 	 7.66037 	 12.1135 
POP-10 	 0.99665 	 0.996942 	 1 	 1 	 1 	 1 	 1.39896 	 1.84216 	 2.86017 	 5.43832 	 7.6299 	 12.002 
POP-11 	 0.204025 	 0.00196667 	 0 	 0 	 0 	 0 	 1.40219 	 1.8645 	 2.34343 	 3.87987 	 6.37167 	 15.5745 
POP-12 	 0.99995 	 1 	 1 	 1 	 1 	 1 	 1.47586 	 2.48743 	 3.47349 	 6.107 	 8.29996 	 11.9754 
POP-13 	 0.40355 	 0.006875 	 0.0001 	 0 	 0 	 0 	 1.23313 	 1.63382 	 2.17164 	 3.30468 	 6.80767 	 10.1714 
POP-14 	 0.395058 	 0.252758 	 0.994233 	 1 	 1 	 1 	 1.30835 	 1.82847 	 3.20677 	 4.19283 	 5.65517 	 7.66651 
POP-15 	 0.741083 	 0.596825 	 0.0984083 	 4.16667e-05 	 0 	 0 	 1.30524 	 1.63837 	 1.99169 	 3.32827 	 6.64985 	 10.2555 
POP-16 	 0.975892 	 1 	 1 	 1 	 1 	 1 	 1.29328 	 2.26388 	 3.66033 	 5.55329 	 9.91141 	 13.2745 
POP-17 	 0.0214583 	 0 	 0 	 0 	 0 	 0 	 1.3753 	 2.50384 	 3.52525 	 4.51305 	 8.29981 	 15.3631 
POP-18 	 0.958658 	 1 	 1 	 1 	 1 	 1 	 1.33237 	 2.04056 	 3.34639 	 6.30963 	 9.47457 	 13.5838 
POP-19 	 0.129283 	 2.5e-05 	 0 	 0 	 0 	 0 	 1.38004 	 1.88126 	 2.81385 	 3.95786 	 5.86853 	 8.80989 
POP-20 	 0.0222667 	 0 	 0 	 0 	 0 	 0 	 1.32195 	 1.76525 	 2.91218 	 4.46007 	 6.0109 	 9.26227 
POP-21 	 0.997767 	 1 	 1 	 1 	 1 	 1 	 1.45026 	 2.30008 	 3.12085 	 4.96668 	 8.6889 	 16.2482 
POP-22 	 0.404092 	 0.793317 	 1 	 1 	 1 	 1 	 1.27985 	 2.34304 	 4.20683 	 6.47258 	 9.76852 	 13.5308 
POP-23 	 0.0125167 	 0 	 0 	 0 	 0 	 0 	 1.43788 	 2.15156 	 3.56473 	 4.82417 	 6.49647 	 8.03269 
POP-24 	 0.00205 	 0 	 0 	 0 	 0 	 0 	 1.39711 	 1.88966 	 3.01212 	 5.26484 	 7.95311 	 10.8844 
POP-25 	 0.134208 	 0 	 0 	 0 	 0 	 0 	 1.34343 	 2.02487 	 2.96876 	 4.70911 	 6.15534 	 8.30618 
POP-26 	 0.689533 	 0.454275 	 0.001375 	 0 	 0 	 0 	 1.36328 	 1.82011 	 2.41465 	 3.04229 	 5.39498 	 7.96451 
POP-27 	 0.0919 	 0 	 0 	 0 	 0 	 0 	 1.33422 	 2.14186 	 3.07623 	 4.14578 	 6.03775 	 8.83959 
POP-28 	 0.849483 	 0.982675 	 1 	 1 	 1 	 1 	 1.28754 	 1.85059 	 3.18484 	 5.14828 	 7.33458 	 10.1465 
POP-29 	 0.454983 	 0.00544167 	 0.000808333 	 0 	 0 	 0 	 1.33011 	 1.80947 	 2.53503 	 3.52294 	 5.87436 	 8.77911 
POP-30 	 0.879883 	 0.999475 	 1 	 1 	 1 	 1 	 1.37916 	 1.57216 	 2.75193 	 3.8538 	 5.40156 	 7.41701 
POP-31 	 0.240042 	 2.5e-05 	 0 	 0 	 0 	 0 	 1.45434 	 1.94736 	 2.55092 	 4.19347 	 6.25203 	 9.47371 
POP-32 	 0.697067 	 0.974442 	 1 	 1 	 1 	 1 	 1.33567 	 1.79279 	 2.85041 	 5.15099 	 10.0658 	 13.7292 
POP-33 	 0.701667 	 0.00404167 	 0 	 0 	 0 	 0 	 1.32585 	 2.53519 	 3.77722 	 4.93036 	 9.26431 	 17.4292 
POP-34 	 0.00119167 	 0 	 0 	 0 	 0 	 0 	 1.41146 	 2.26447 	 3.35684 	 5.20971 	 10.9742 	 16.2488 
POP-35 	 0.183217 	 0.02125 	 0 	 0 	 0 	 0 	 1.18806 	 1.85005 	 2.43659 	 3.24073 	 4.60956 	 8.29836 
POP-36 	 0.016225 	 0 	 0 	 0 	 0 	 0 	 1.33566 	 1.82175 	 2.93456 	 4.5475 	 7.55071 	 11.2769 
POP-37 	 0.74655 	 0.00249167 	 0 	 0 	 0 	 0 	 1.2802 	 2.19321 	 2.96325 	 5.50672 	 9.38116 	 13.9439 
POP-38 	 0.509167 	 0.975317 	 1 	 1 	 1 	 1 	 1.00585 	 1.21405 	 1.66105 	 2.21667 	 4.121 	 6.92487 
POP-39 	 0.264058 	 0.0330167 	 0 	 0 	 0 	 0 	 1.50093 	 1.92312 	 3.27999 	 4.38025 	 7.02569 	 9.83254 
POP-40 	 0.999408 	 1 	 1 	 1 	 1 	 1 	 1.4361 	 2.2858 	 3.40144 	 6.10259 	 9.03831 	 15.721 
POP-41 	 0.0128 	 0 	 0 	 0 	 0 	 0 	 1.348 	 1.96953 	 3.54808 	 4.98503 	 9.06073 	 13.6854 
POP-42 	 0.0263083 	 0 	 0 	 0 	 0 	 0 	 1.38474 	 2.57313 	 3.20553 	 5.30175 	 8.33879 	 10.8435 
POP-43 	 0.00291667 	 0 	 0 	 0 	 0 	 0 	 1.41387 	 2.38722 	 3.66297 	 5.0993 	 6.56803 	 11.5632 
POP-44 	 0.120092 	 0.992017 	 1 	 1 	 1 	 1 	 1.39707 	 2.06983 	 3.43591 	 5.12932 	 7.39112 	 12.7245 
POP-45 	 0.503275 	 0.305017 	 0.00055 	 0 	 0 	 0 	 1.36123 	 2.14447 	 3.21651 	 4.52684 	 7.71121 	 13.8923 
POP-46 	 0.870992 	 0.999992 	 1 	 1 	 1 	 1 	 1.31403 	 2.29134 	 3.26155 	 6.05887 	 8.60565 	 15.9419 
POP-47 	 0.960883 	 0.996442 	 1 	 1 	 1 	 1 	 1.2452 	 1.74707 	 2.54714 	 4.56834 	 5.94326 	 8.62398 
POP-48 	 0.168692 	 0.02395 	 0 	 0 	 0 	 0 	 1.25327 	 1.70394 	 3.26903 	 4.37142 	 7.21001 	 12.3003 
POP-49 	 0.259608 	 0.0003 	 0 	 0 	 0 	 0 	 1.1297 	 1.71631 	 2.8314 	 4.35618 	 5.8522 	 8.81897 
POP-50 	 0.752958 	 0.999633 	 1 	 1 	 1 	 1 	 1.39761 	 2.20262 	 3.03555 	 4.08867 	 6.85692 	 12.174 
POP-51 	 0.518683 	 0.999975 	 1 	 1 	 1 	 1 	 1.00959 	 1.91912 	 2.73489 	 4.86541 	 8.21189 	 12.4322 
