Population	 Frequency at Bottleneck 10	 Frequency at Bottleneck 20	 Frequency at Bottleneck 30	 Frequency at Bottleneck 40	 Frequency at Bottleneck 50	 Frequency at Bottleneck 60	 Whole Population Fitness Average at Bottleneck 10	 Whole Population Fitness Average at Bottleneck 20	 Whole Population Fitness Average at Bottleneck 30	 Whole Population Fitness Average at Bottleneck 40	 Whole Population Fitness Average at Bottleneck 50	 Whole Population Fitness Average at Bottleneck 60
POP-1 	 0.507142 	 0.195667 	 0.0033 	 0.00280833 	 0 	 0 	 1.00101 	 1.09081 	 1.20299 	 1.33189 	 1.53849 	 1.58995 
POP-2 	 0.510125 	 0.267567 	 0.113992 	 5e-05 	 0 	 0 	 1.00052 	 1.06699 	 1.11638 	 1.38601 	 1.43743 	 1.59341 
POP-3 	 0.499142 	 0.11745 	 0.000833333 	 0 	 0 	 0 	 1.00005 	 1.13498 	 1.18219 	 1.30928 	 1.48127 	 1.53667 
POP-4 	 0.492392 	 0.847267 	 0.952408 	 0.999617 	 1 	 1 	 1.00076 	 1.08437 	 1.11551 	 1.30424 	 1.46716 	 1.49704 
POP-5 	 0.5069 	 0.923417 	 0.99995 	 1 	 1 	 1 	 1.00014 	 1.13791 	 1.16854 	 1.38998 	 1.4109 	 1.56899 
POP-6 	 0.482892 	 0.0005 	 0 	 0 	 0 	 0 	 1.0086 	 1.18281 	 1.23822 	 1.45933 	 1.64548 	 1.65348 
POP-7 	 0.499175 	 0.0715917 	 0.0106083 	 0 	 0 	 0 	 1.00039 	 1.12955 	 1.3355 	 1.4766 	 1.5385 	 1.80104 
POP-8 	 0.5058 	 0.376617 	 0.0228417 	 0 	 0 	 0 	 1.00038 	 1.07074 	 1.24764 	 1.35433 	 1.52764 	 1.60415 
POP-9 	 0.5156 	 0.868783 	 0.729308 	 0.00695833 	 0.000141667 	 0 	 1.00097 	 1.1075 	 1.16309 	 1.28391 	 1.31945 	 1.4622 
POP-10 	 0.500358 	 0.417733 	 0.0458583 	 1.66667e-05 	 0 	 0 	 1.00078 	 1.05904 	 1.16297 	 1.30267 	 1.31446 	 1.62717 
POP-11 	 0.473117 	 0.0192083 	 0.00025 	 0 	 0 	 0 	 1.00759 	 1.14015 	 1.26859 	 1.29283 	 1.43959 	 1.55513 
POP-12 	 0.573558 	 0.999158 	 1 	 1 	 1 	 1 	 1.02529 	 1.19297 	 1.31309 	 1.34388 	 1.47053 	 1.57658 
POP-13 	 0.504283 	 0.00483333 	 0 	 0 	 0 	 0 	 1.00158 	 1.18387 	 1.19597 	 1.28979 	 1.3428 	 1.60687 
POP-14 	 0.495042 	 0.752308 	 0.103192 	 0.0011 	 0 	 0 	 1.00208 	 1.16236 	 1.34893 	 1.37904 	 1.5735 	 1.93842 
