Population	 Frequency at Bottleneck 10	 Frequency at Bottleneck 20	 Frequency at Bottleneck 30	 Frequency at Bottleneck 40	 Frequency at Bottleneck 50	 Frequency at Bottleneck 60	 Whole Population Fitness Average at Bottleneck 10	 Whole Population Fitness Average at Bottleneck 20	 Whole Population Fitness Average at Bottleneck 30	 Whole Population Fitness Average at Bottleneck 40	 Whole Population Fitness Average at Bottleneck 50	 Whole Population Fitness Average at Bottleneck 60
POP-1 	 0.494817 	 0.501675 	 0.998992 	 1 	 1 	 1 	 1 	 1.00009 	 1.29267 	 1.91498 	 2.33079 	 2.42919 
POP-2 	 0.001975 	 0 	 0 	 0 	 0 	 0 	 1.45262 	 1.96073 	 2.17044 	 2.67419 	 3.48154 	 3.86001 
POP-3 	 0.488108 	 0.992742 	 1 	 1 	 1 	 1 	 1.00034 	 1.45757 	 1.51068 	 2.15858 	 2.69242 	 3.28525 
POP-4 	 0.494125 	 0.494958 	 0.487392 	 0.000191667 	 0 	 0 	 1 	 1 	 1.00001 	 1.33701 	 1.33712 	 1.33712 
POP-5 	 0.150542 	 0 	 0 	 0 	 0 	 0 	 1.1875 	 1.61645 	 1.66163 	 2.27152 	 2.27711 	 2.27841 
POP-6 	 0.502142 	 0.517367 	 0.000191667 	 0 	 0 	 0 	 1 	 1.00044 	 1.28044 	 1.65643 	 1.69359 	 2.34862 
POP-7 	 0.489158 	 0 	 0 	 0 	 0 	 0 	 1.00109 	 1.47998 	 1.97408 	 2.20272 	 2.9399 	 3.89172 
POP-8 	 0.512083 	 0.000325 	 0 	 0 	 0 	 0 	 1.00007 	 1.32036 	 1.32055 	 1.3511 	 1.65345 	 1.79808 
POP-9 	 0.489808 	 0.235775 	 0.0313667 	 0 	 0 	 0 	 1.00122 	 1.18685 	 1.4859 	 1.77355 	 1.80218 	 2.26001 
POP-10 	 0.0228583 	 0 	 0 	 0 	 0 	 0 	 1.30346 	 1.68102 	 2.25354 	 3.01048 	 4.10527 	 6.87544 
POP-11 	 0.503625 	 0.503908 	 0.42 	 0.528417 	 0.629967 	 0.701342 	 1 	 1.00021 	 1.31569 	 1.31672 	 1.31765 	 1.31831 
POP-12 	 0.123292 	 0 	 0 	 0 	 0 	 0 	 1.34782 	 1.46996 	 1.83436 	 2.3993 	 3.18934 	 4.01449 
POP-13 	 0.502992 	 0.812025 	 0.0863667 	 0.983 	 1 	 1 	 1.0001 	 1.28634 	 1.4114 	 1.65178 	 2.23878 	 3.17883 
POP-14 	 0.502008 	 0.999692 	 1 	 1 	 1 	 1 	 1.00075 	 1.24844 	 1.26153 	 1.68612 	 1.74333 	 1.80817 
POP-15 	 0.495017 	 0.501725 	 0.515942 	 1 	 1 	 1 	 1 	 1 	 1.00567 	 1.54346 	 1.97571 	 2.00351 
POP-16 	 0.891533 	 1 	 1 	 1 	 1 	 1 	 1.28913 	 1.37165 	 2.36963 	 2.38684 	 2.47402 	 3.25011 
POP-17 	 0.217242 	 0 	 0 	 0 	 0 	 0 	 1.17674 	 1.48147 	 2.11076 	 2.65945 	 3.31914 	 3.33256 
POP-18 	 0.492392 	 0.492533 	 0.469792 	 0 	 0 	 0 	 1 	 1 	 1.01168 	 1.30499 	 1.32908 	 1.6008 
POP-19 	 0.532458 	 1 	 1 	 1 	 1 	 1 	 1.03222 	 1.40831 	 1.6991 	 2.5395 	 2.5395 	 2.61208 
POP-20 	 0.588567 	 0.999983 	 1 	 1 	 1 	 1 	 1.04061 	 1.23664 	 1.51704 	 1.54716 	 2.09559 	 2.81905 
POP-21 	 0.576692 	 1 	 1 	 1 	 1 	 1 	 1.05927 	 1.39739 	 2.07106 	 2.72477 	 3.44902 	 4.23013 
POP-22 	 0.502142 	 0.09145 	 0 	 0 	 0 	 0 	 1.00007 	 1.14009 	 1.17727 	 1.53218 	 2.0138 	 2.67754 
POP-23 	 0.191025 	 0 	 0 	 0 	 0 	 0 	 1.18978 	 1.74737 	 2.21294 	 2.21414 	 2.21689 	 2.22479 
POP-24 	 0.489117 	 0.69685 	 0.914842 	 1 	 1 	 1 	 1.00001 	 1.21336 	 1.37688 	 1.52045 	 1.84279 	 1.84287 
POP-25 	 0.494075 	 0.999583 	 1 	 1 	 1 	 1 	 1.00078 	 1.32011 	 1.63274 	 2.07295 	 2.56484 	 2.56596 
POP-26 	 0.975142 	 0.999858 	 1 	 1 	 1 	 1 	 1.49617 	 1.87814 	 2.31884 	 2.46217 	 2.49699 	 3.28025 
POP-27 	 0.498725 	 0.454358 	 0.00195 	 0 	 0 	 0 	 1 	 1.01775 	 1.30438 	 1.4289 	 1.47536 	 1.86521 
POP-28 	 0.999992 	 1 	 1 	 1 	 1 	 1 	 1.57286 	 2.16964 	 2.80119 	 3.92875 	 5.23023 	 6.33096 
POP-29 	 0.506175 	 0.071525 	 0.0420083 	 0 	 0 	 0 	 1.00003 	 1.17386 	 1.21965 	 1.67124 	 1.68781 	 2.07881 
POP-30 	 0.091175 	 0 	 0 	 0 	 0 	 0 	 1.24559 	 1.5978 	 1.70702 	 2.01037 	 2.02276 	 2.02726 
POP-31 	 0.306533 	 0.999825 	 1 	 1 	 1 	 1 	 1.12239 	 1.91269 	 2.19758 	 2.651 	 3.18224 	 4.15749 
POP-32 	 0.497408 	 0.499533 	 0.9984 	 1 	 1 	 1 	 1 	 1.00035 	 1.22161 	 1.44627 	 1.60129 	 1.80982 
POP-33 	 0.497208 	 0.999867 	 1 	 1 	 1 	 1 	 1.00006 	 1.34409 	 1.70556 	 2.21733 	 2.60318 	 2.60759 
POP-34 	 0.499792 	 0.936542 	 0.5525 	 0.956492 	 0.762292 	 0.994592 	 1.00008 	 1.22413 	 1.24981 	 1.57278 	 1.62705 	 1.95422 
POP-35 	 0.4923 	 5.83333e-05 	 0 	 0 	 0 	 0 	 1 	 1.41872 	 1.46193 	 1.93937 	 3.51223 	 3.51847 
POP-36 	 0.496733 	 0.12605 	 7.5e-05 	 0 	 0 	 0 	 1 	 1.21716 	 1.80077 	 2.16143 	 2.72657 	 2.93235 
POP-37 	 0.5142 	 7.5e-05 	 0 	 0 	 0 	 0 	 1.00075 	 1.37668 	 1.94347 	 2.45386 	 2.93206 	 4.24127 
POP-38 	 0.364525 	 0 	 0 	 0 	 0 	 0 	 1.06678 	 1.27892 	 2.01667 	 2.17907 	 2.57818 	 3.21568 
POP-39 	 0.481608 	 0.105592 	 0.415192 	 0.8193 	 1 	 1 	 1.01248 	 1.26732 	 1.27913 	 1.3474 	 1.802 	 2.18818 
POP-40 	 0.486758 	 0.480225 	 0.507525 	 0.719542 	 0.00171667 	 0 	 1 	 1.00012 	 1.22516 	 1.48839 	 1.76726 	 2.5341 
POP-41 	 0.495558 	 0.490242 	 0.002025 	 0 	 0 	 0 	 1 	 1.00025 	 1.22993 	 1.67203 	 2.2457 	 2.8921 
POP-42 	 0.498 	 0.498983 	 0.977917 	 0.999883 	 1 	 1 	 1 	 1.00264 	 1.26209 	 1.50942 	 2.37827 	 3.06218 
POP-43 	 0.492425 	 0.396408 	 0.795158 	 0.999883 	 1 	 1 	 1.00439 	 1.24856 	 1.26398 	 1.64314 	 1.77709 	 1.92452 
POP-44 	 0.24665 	 5e-05 	 0 	 0 	 0 	 0 	 1.1245 	 1.34213 	 1.66894 	 2.12165 	 3.45961 	 4.68662 
POP-45 	 0.671008 	 0.999975 	 1 	 1 	 1 	 1 	 1.06428 	 1.20035 	 1.43875 	 1.79321 	 2.51025 	 2.52286 
POP-46 	 0.498558 	 0.493075 	 0 	 0 	 0 	 0 	 1 	 1.00261 	 1.37531 	 1.37617 	 1.61671 	 2.14712 
POP-47 	 0.932408 	 1 	 1 	 1 	 1 	 1 	 1.29723 	 1.97519 	 2.60132 	 2.6015 	 2.6015 	 2.60151 
POP-48 	 0.495783 	 0.988533 	 0.999617 	 0.999858 	 1 	 1 	 1.00008 	 1.33455 	 1.33716 	 1.66437 	 2.22787 	 2.69107 
