Population	 Frequency at Bottleneck 10	 Frequency at Bottleneck 20	 Frequency at Bottleneck 30	 Frequency at Bottleneck 40	 Frequency at Bottleneck 50	 Frequency at Bottleneck 60	 Whole Population Fitness Average at Bottleneck 10	 Whole Population Fitness Average at Bottleneck 20	 Whole Population Fitness Average at Bottleneck 30	 Whole Population Fitness Average at Bottleneck 40	 Whole Population Fitness Average at Bottleneck 50	 Whole Population Fitness Average at Bottleneck 60
POP-1 	 0.498242 	 0.509575 	 0.50965 	 0.512108 	 0.501717 	 0.49835 	 1 	 1 	 1 	 1 	 1 	 1 
POP-2 	 0.495725 	 0.482525 	 0.470492 	 0.474858 	 0.465558 	 0.461725 	 1 	 1 	 1 	 1 	 1 	 1 
POP-3 	 0.506108 	 0.510792 	 0.523458 	 0.515433 	 0.517108 	 0.517308 	 1 	 1 	 1 	 1 	 1 	 1 
POP-4 	 0.505908 	 0.512325 	 0.509333 	 0.50965 	 0.507842 	 0.524642 	 1 	 1 	 1 	 1 	 1 	 1 
POP-5 	 0.487483 	 0.497392 	 0.479225 	 0.477942 	 0.47785 	 0.491783 	 1 	 1 	 1 	 1 	 1 	 1 
POP-6 	 0.494467 	 0.482058 	 0.489525 	 0.509842 	 0.505983 	 0.494333 	 1 	 1 	 1 	 1 	 1 	 1 
POP-7 	 0.494192 	 0.492808 	 0.497917 	 0.4994 	 0.485367 	 0.475925 	 1 	 1 	 1 	 1 	 1.00001 	 1.00002 
POP-8 	 0.4964 	 0.495083 	 0.4893 	 0.49205 	 0.49925 	 0.496117 	 1 	 1 	 1 	 1 	 1 	 1 
POP-9 	 0.492575 	 0.476983 	 0.496525 	 0.506458 	 0.51785 	 0.526033 	 1.00001 	 1.00001 	 1.00004 	 1.00013 	 1.00031 	 1.00097 
POP-10 	 0.496442 	 0.507892 	 0.507217 	 0.514758 	 0.523442 	 0.528833 	 1 	 1 	 1 	 1 	 1 	 1 
POP-11 	 0.505683 	 0.500542 	 0.48855 	 0.480475 	 0.491392 	 0.498833 	 1 	 1 	 1 	 1 	 1 	 1 
POP-12 	 0.478492 	 0.476342 	 0.472592 	 0.488825 	 0.494833 	 0.506425 	 1 	 1 	 1 	 1 	 1 	 1 
POP-13 	 0.497267 	 0.489875 	 0.479925 	 0.479475 	 0.486642 	 0.474517 	 1 	 1 	 1.00001 	 1.00001 	 1.00003 	 1.00004 
POP-14 	 0.49835 	 0.499508 	 0.500225 	 0.486725 	 0.483317 	 0.477083 	 1 	 1 	 1 	 1.00002 	 1.00007 	 1.00033 
POP-15 	 0.500675 	 0.485258 	 0.4868 	 0.483125 	 0.486558 	 0.480883 	 1 	 1 	 1 	 1 	 1 	 1 
POP-16 	 0.497908 	 0.503083 	 0.510708 	 0.501308 	 0.514942 	 0.518575 	 1 	 1 	 1 	 1 	 1 	 1 
POP-17 	 0.497658 	 0.502883 	 0.499433 	 0.489867 	 0.428042 	 0.181658 	 1 	 1 	 1.00004 	 1.00058 	 1.00558 	 1.0254 
POP-18 	 0.506442 	 0.481267 	 0.487042 	 0.488883 	 0.492925 	 0.488675 	 1 	 1 	 1 	 1 	 1 	 1 
POP-19 	 0.480392 	 0.491617 	 0.502325 	 0.491942 	 0.487117 	 0.479842 	 1 	 1 	 1 	 1 	 1 	 1 
POP-20 	 0.491875 	 0.490158 	 0.483642 	 0.499167 	 0.497433 	 0.490858 	 1 	 1 	 1 	 1 	 1 	 1 
POP-21 	 0.503883 	 0.501625 	 0.4923 	 0.485267 	 0.492867 	 0.495408 	 1 	 1 	 1 	 1 	 1 	 1 
POP-22 	 0.498783 	 0.516425 	 0.513667 	 0.520508 	 0.507083 	 0.486733 	 1 	 1 	 1 	 1 	 1 	 1 
POP-23 	 0.486258 	 0.482392 	 0.491683 	 0.495692 	 0.492775 	 0.484975 	 1 	 1 	 1 	 1 	 1 	 1 
POP-24 	 0.506683 	 0.504833 	 0.503967 	 0.493533 	 0.490983 	 0.495625 	 1 	 1 	 1 	 1 	 1 	 1 
POP-25 	 0.502242 	 0.498367 	 0.502708 	 0.496283 	 0.497842 	 0.493358 	 1 	 1 	 1 	 1 	 1.00002 	 1.00006 
POP-26 	 0.504383 	 0.492733 	 0.490425 	 0.482783 	 0.474917 	 0.471742 	 1 	 1 	 1 	 1 	 1 	 1 
POP-27 	 0.508167 	 0.508508 	 0.517833 	 0.515525 	 0.510017 	 0.50445 	 1 	 1 	 1 	 1 	 1 	 1 
POP-28 	 0.510158 	 0.505742 	 0.5051 	 0.499342 	 0.502092 	 0.499642 	 1 	 1.00001 	 1.00002 	 1.00002 	 1.00005 	 1.00008 
POP-29 	 0.489367 	 0.50285 	 0.499442 	 0.488717 	 0.479658 	 0.484675 	 1 	 1 	 1 	 1 	 1 	 1 
