Population	 Frequency at Bottleneck 5	 Frequency at Bottleneck 10	 Frequency at Bottleneck 15	 Frequency at Bottleneck 20	 Whole Population Fitness Average at Bottleneck 5	 Whole Population Fitness Average at Bottleneck 10	 Whole Population Fitness Average at Bottleneck 15	 Whole Population Fitness Average at Bottleneck 20
POP-1 	 0.496142 	 0.491492 	 0.485317 	 0.485208 	 1 	 1 	 1 	 1 
POP-2 	 0.503342 	 0.506592 	 0.506883 	 0.507175 	 1 	 1 	 1 	 1 
POP-3 	 0.496725 	 0.488317 	 0.490008 	 0.485417 	 1 	 1 	 1 	 1 
POP-4 	 0.495483 	 0.4968 	 0.498583 	 0.491167 	 1 	 1 	 1 	 1 
POP-5 	 0.500708 	 0.498317 	 0.505783 	 0.509467 	 1 	 1 	 1 	 1 
POP-6 	 0.499483 	 0.504825 	 0.497008 	 0.494608 	 1 	 1 	 1 	 1 
POP-7 	 0.494625 	 0.493933 	 0.4912 	 0.495008 	 1 	 1 	 1 	 1 
POP-8 	 0.4978 	 0.495225 	 0.4962 	 0.504575 	 1 	 1 	 1 	 1 
POP-9 	 0.514508 	 0.516833 	 0.5236 	 0.520483 	 1 	 1 	 1 	 1 
POP-10 	 0.501742 	 0.501458 	 0.503367 	 0.504 	 1 	 1 	 1 	 1 
POP-11 	 0.4909 	 0.493292 	 0.492792 	 0.496858 	 1 	 1 	 1 	 1 
POP-12 	 0.497933 	 0.497 	 0.485383 	 0.488275 	 1 	 1 	 1 	 1 
POP-13 	 0.495083 	 0.491575 	 0.494058 	 0.498108 	 1 	 1 	 1 	 1 
POP-14 	 0.505733 	 0.504267 	 0.503742 	 0.505342 	 1 	 1 	 1 	 1 
POP-15 	 0.499608 	 0.506033 	 0.500267 	 0.492992 	 1 	 1 	 1 	 1 
POP-16 	 0.491242 	 0.489142 	 0.482117 	 0.481675 	 1 	 1 	 1 	 1 
POP-17 	 0.498767 	 0.502017 	 0.496808 	 0.499775 	 1 	 1 	 1 	 1 
POP-18 	 0.498892 	 0.494367 	 0.499725 	 0.493958 	 1 	 1 	 1 	 1 
POP-19 	 0.502208 	 0.495483 	 0.499467 	 0.498375 	 1 	 1 	 1 	 1 
POP-20 	 0.5051 	 0.512117 	 0.518325 	 0.515133 	 1 	 1 	 1 	 1 
POP-21 	 0.50775 	 0.510792 	 0.513667 	 0.513467 	 1 	 1 	 1 	 1 
POP-22 	 0.493108 	 0.48765 	 0.4772 	 0.478625 	 1 	 1 	 1 	 1 
POP-23 	 0.505725 	 0.506992 	 0.5099 	 0.500367 	 1 	 1 	 1 	 1 
POP-24 	 0.5037 	 0.508817 	 0.508717 	 0.520608 	 1 	 1 	 1 	 1 
POP-25 	 0.4976 	 0.493975 	 0.490333 	 0.493133 	 1 	 1 	 1 	 1 
POP-26 	 0.502967 	 0.507392 	 0.503792 	 0.506025 	 1 	 1 	 1 	 1 
