Population	 Frequency at Bottleneck 5	 Frequency at Bottleneck 10	 Frequency at Bottleneck 15	 Frequency at Bottleneck 20	 Whole Population Fitness Average at Bottleneck 5	 Whole Population Fitness Average at Bottleneck 10	 Whole Population Fitness Average at Bottleneck 15	 Whole Population Fitness Average at Bottleneck 20
POP-1 	 0.494875 	 0.500483 	 0.503283 	 0.500783 	 1 	 1 	 1 	 1 
POP-2 	 0.515583 	 0.522833 	 0.524308 	 0.525625 	 1 	 1 	 1 	 1 
POP-3 	 0.502308 	 0.489792 	 0.490175 	 0.486975 	 1 	 1 	 1 	 1 
POP-4 	 0.496908 	 0.503133 	 0.500317 	 0.505817 	 1 	 1 	 1 	 1 
POP-5 	 0.4982 	 0.481808 	 0.476958 	 0.479442 	 1 	 1 	 1 	 1 
POP-6 	 0.507833 	 0.513325 	 0.52165 	 0.523167 	 1 	 1 	 1 	 1 
POP-7 	 0.503525 	 0.508517 	 0.511675 	 0.519425 	 1 	 1.00001 	 1.00001 	 1.00001 
POP-8 	 0.500883 	 0.499617 	 0.496808 	 0.495433 	 1 	 1 	 1 	 1 
POP-9 	 0.5028 	 0.513408 	 0.50585 	 0.50575 	 1 	 1 	 1 	 1 
POP-10 	 0.49775 	 0.485542 	 0.485408 	 0.494992 	 1 	 1 	 1 	 1 
POP-11 	 0.514667 	 0.514717 	 0.526967 	 0.522883 	 1 	 1 	 1 	 1 
POP-12 	 0.504867 	 0.50825 	 0.504167 	 0.500942 	 1 	 1 	 1 	 1 
POP-13 	 0.490283 	 0.484675 	 0.48525 	 0.490808 	 1 	 1 	 1 	 1 
POP-14 	 0.503758 	 0.499225 	 0.497592 	 0.4908 	 1 	 1 	 1 	 1 
POP-15 	 0.496092 	 0.503375 	 0.504342 	 0.510133 	 1 	 1 	 1 	 1 
POP-16 	 0.501858 	 0.502075 	 0.505967 	 0.496033 	 1 	 1 	 1 	 1 
POP-17 	 0.495883 	 0.499883 	 0.502542 	 0.501875 	 1 	 1 	 1.00001 	 1 
POP-18 	 0.494442 	 0.49 	 0.486083 	 0.492675 	 1 	 1 	 1 	 1 
POP-19 	 0.497742 	 0.508658 	 0.507725 	 0.506492 	 1 	 1 	 1 	 1 
POP-20 	 0.501175 	 0.501 	 0.503383 	 0.501733 	 1 	 1 	 1 	 1 
POP-21 	 0.496142 	 0.496083 	 0.495958 	 0.483442 	 1 	 1 	 1 	 1 
POP-22 	 0.509975 	 0.512792 	 0.517 	 0.514158 	 1 	 1 	 1.00001 	 1.00003 
POP-23 	 0.499125 	 0.487133 	 0.492775 	 0.493183 	 1 	 1 	 1 	 1 
POP-24 	 0.493058 	 0.50075 	 0.503167 	 0.50015 	 1 	 1 	 1 	 1 
POP-25 	 0.5 	 0.499442 	 0.501758 	 0.494492 	 1 	 1 	 1 	 1 
POP-26 	 0.505925 	 0.514292 	 0.516825 	 0.516708 	 1 	 1 	 1 	 1 
POP-27 	 0.502817 	 0.506258 	 0.500092 	 0.502317 	 1 	 1 	 1 	 1.00001 
POP-28 	 0.50675 	 0.507033 	 0.515933 	 0.507742 	 1 	 1 	 1 	 1 
POP-29 	 0.501283 	 0.491283 	 0.488125 	 0.492483 	 1 	 1 	 1 	 1 
POP-30 	 0.501775 	 0.499808 	 0.494358 	 0.492067 	 1 	 1 	 1 	 1 
POP-31 	 0.497 	 0.50705 	 0.508958 	 0.508225 	 1 	 1 	 1 	 1.00001 
POP-32 	 0.512725 	 0.5101 	 0.513342 	 0.515342 	 1 	 1 	 1 	 1 
POP-33 	 0.495092 	 0.5068 	 0.510267 	 0.509733 	 1 	 1 	 1 	 1 
POP-34 	 0.495942 	 0.499308 	 0.4972 	 0.497683 	 1 	 1 	 1 	 1 
POP-35 	 0.500483 	 0.505058 	 0.508825 	 0.5151 	 1 	 1 	 1 	 1 
POP-36 	 0.507133 	 0.506192 	 0.503675 	 0.5077 	 1 	 1 	 1 	 1 
POP-37 	 0.49375 	 0.500808 	 0.499575 	 0.489008 	 1 	 1.00001 	 1.00001 	 1.00003 
POP-38 	 0.50535 	 0.510408 	 0.506033 	 0.501942 	 1 	 1 	 1 	 1 
POP-39 	 0.496383 	 0.481408 	 0.4748 	 0.47605 	 1 	 1 	 1 	 1 
POP-40 	 0.502208 	 0.502758 	 0.49795 	 0.485183 	 1 	 1 	 1 	 1 
POP-41 	 0.504475 	 0.514125 	 0.499283 	 0.50085 	 1 	 1 	 1 	 1 
POP-42 	 0.503108 	 0.495258 	 0.502608 	 0.508083 	 1 	 1 	 1.00001 	 1.00002 
POP-43 	 0.498825 	 0.49635 	 0.494008 	 0.496875 	 1 	 1 	 1 	 1 
POP-44 	 0.497683 	 0.497775 	 0.500842 	 0.502542 	 1 	 1 	 1 	 1 
POP-45 	 0.500392 	 0.495583 	 0.51035 	 0.507558 	 1 	 1 	 1 	 1 
POP-46 	 0.496933 	 0.494467 	 0.495808 	 0.507758 	 1 	 1 	 1.00001 	 1.00002 
POP-47 	 0.50415 	 0.506075 	 0.506525 	 0.501308 	 1 	 1 	 1 	 1 
POP-48 	 0.498975 	 0.512575 	 0.527842 	 0.520175 	 1 	 1 	 1 	 1 
POP-49 	 0.502133 	 0.504667 	 0.499533 	 0.497483 	 1 	 1 	 1 	 1 
POP-50 	 0.4907 	 0.495992 	 0.49335 	 0.481558 	 1 	 1 	 1 	 1 
POP-51 	 0.4993 	 0.499092 	 0.504192 	 0.502333 	 1 	 1 	 1 	 1 
POP-52 	 0.506725 	 0.499242 	 0.501758 	 0.503942 	 1 	 1 	 1 	 1 
POP-53 	 0.494825 	 0.496158 	 0.505725 	 0.50955 	 1 	 1 	 1 	 1 
POP-54 	 0.50135 	 0.503208 	 0.499417 	 0.507975 	 1 	 1 	 1 	 1 
POP-55 	 0.496775 	 0.497475 	 0.499683 	 0.501467 	 1 	 1 	 1 	 1 
POP-56 	 0.5077 	 0.497183 	 0.497167 	 0.497808 	 1 	 1 	 1 	 1 
POP-57 	 0.501125 	 0.507483 	 0.513425 	 0.511933 	 1 	 1 	 1 	 1 
POP-58 	 0.500925 	 0.501833 	 0.511825 	 0.507092 	 1 	 1 	 1 	 1.00001 
POP-59 	 0.506617 	 0.50335 	 0.50425 	 0.503275 	 1 	 1 	 1.00001 	 1.00001 
POP-60 	 0.49975 	 0.504017 	 0.504425 	 0.511392 	 1 	 1 	 1 	 1 
POP-61 	 0.50075 	 0.495967 	 0.485292 	 0.4952 	 1 	 1 	 1 	 1 
POP-62 	 0.501392 	 0.499083 	 0.494442 	 0.491433 	 1 	 1 	 1.00001 	 1.00003 
POP-63 	 0.505258 	 0.491375 	 0.488617 	 0.481667 	 1 	 1 	 1 	 1 
