Population	 Frequency at Bottleneck 5	 Frequency at Bottleneck 10	 Frequency at Bottleneck 15	 Frequency at Bottleneck 20	 Whole Population Fitness Average at Bottleneck 5	 Whole Population Fitness Average at Bottleneck 10	 Whole Population Fitness Average at Bottleneck 15	 Whole Population Fitness Average at Bottleneck 20
POP-64 	 0.493867 	 0.481483 	 0.478417 	 0.476525 	 1 	 1 	 1 	 1 
POP-65 	 0.504417 	 0.5 	 0.498933 	 0.501925 	 1 	 1 	 1 	 1 
POP-66 	 0.502333 	 0.505367 	 0.49715 	 0.4993 	 1 	 1 	 1 	 1 
POP-67 	 0.489042 	 0.486058 	 0.479908 	 0.472317 	 1 	 1 	 1 	 1 
POP-68 	 0.487317 	 0.482 	 0.470092 	 0.463483 	 1 	 1 	 1.00002 	 1.00003 
POP-69 	 0.499158 	 0.500083 	 0.497017 	 0.495408 	 1 	 1 	 1 	 1 
POP-70 	 0.499383 	 0.49855 	 0.505508 	 0.508258 	 1 	 1 	 1 	 1 
POP-71 	 0.502908 	 0.507233 	 0.515075 	 0.514375 	 1 	 1 	 1 	 1 
POP-72 	 0.503308 	 0.509675 	 0.510475 	 0.505258 	 1 	 1 	 1 	 1 
POP-73 	 0.502383 	 0.497158 	 0.498858 	 0.49945 	 1 	 1 	 1 	 1 
POP-74 	 0.492475 	 0.493567 	 0.491433 	 0.490892 	 1 	 1 	 1 	 1 
POP-75 	 0.491883 	 0.50375 	 0.499925 	 0.503342 	 1 	 1 	 1 	 1 
POP-76 	 0.5026 	 0.504225 	 0.500808 	 0.510608 	 1 	 1 	 1 	 1 
POP-77 	 0.503892 	 0.508308 	 0.503825 	 0.501883 	 1 	 1 	 1 	 1 
POP-78 	 0.50675 	 0.506225 	 0.502058 	 0.504725 	 1 	 1 	 1 	 1 
POP-79 	 0.492325 	 0.49285 	 0.487592 	 0.4912 	 1 	 1.00001 	 1.00008 	 1.00019 
POP-80 	 0.500342 	 0.492875 	 0.488058 	 0.48835 	 1 	 1 	 1 	 1 
POP-81 	 0.500217 	 0.503958 	 0.50475 	 0.500058 	 1 	 1 	 1 	 1 
POP-82 	 0.490575 	 0.483983 	 0.488408 	 0.47965 	 1 	 1 	 1 	 1 
POP-83 	 0.496608 	 0.488592 	 0.48385 	 0.4807 	 1 	 1 	 1 	 1 
POP-84 	 0.4954 	 0.495608 	 0.497783 	 0.502733 	 1 	 1 	 1 	 1 
POP-85 	 0.495967 	 0.498908 	 0.49455 	 0.497408 	 1 	 1 	 1 	 1 
POP-86 	 0.500283 	 0.493775 	 0.5001 	 0.504442 	 1 	 1 	 1 	 1 
POP-87 	 0.492742 	 0.502425 	 0.505042 	 0.501225 	 1 	 1 	 1 	 1 
POP-88 	 0.496042 	 0.48875 	 0.488642 	 0.481817 	 1 	 1 	 1 	 1 
POP-89 	 0.499292 	 0.4879 	 0.477983 	 0.482083 	 1 	 1 	 1.00001 	 1.00003 
POP-90 	 0.495792 	 0.496325 	 0.5036 	 0.493375 	 1 	 1 	 1 	 1 
POP-91 	 0.499275 	 0.494442 	 0.48845 	 0.496567 	 1 	 1 	 1 	 1 
POP-92 	 0.49805 	 0.498992 	 0.503483 	 0.505442 	 1 	 1 	 1 	 1 
POP-93 	 0.509908 	 0.50795 	 0.504908 	 0.510992 	 1 	 1 	 1 	 1 
POP-94 	 0.502208 	 0.491867 	 0.4923 	 0.496342 	 1 	 1 	 1 	 1 
POP-95 	 0.50285 	 0.505217 	 0.500958 	 0.499775 	 1 	 1 	 1 	 1 
POP-96 	 0.500767 	 0.491883 	 0.4958 	 0.497775 	 1 	 1 	 1.00001 	 1.00004 
POP-97 	 0.494208 	 0.495658 	 0.489667 	 0.488208 	 1 	 1 	 1 	 1 
POP-98 	 0.500958 	 0.497008 	 0.496467 	 0.496533 	 1 	 1 	 1 	 1 
POP-99 	 0.506192 	 0.505417 	 0.5095 	 0.496258 	 1 	 1 	 1 	 1 
POP-100 	 0.499142 	 0.491817 	 0.506925 	 0.501225 	 1 	 1 	 1 	 1.00001 
