Population	 Frequency at Bottleneck 10	 Frequency at Bottleneck 20	 Frequency at Bottleneck 30	 Frequency at Bottleneck 40	 Frequency at Bottleneck 50	 Frequency at Bottleneck 60	 Whole Population Fitness Average at Bottleneck 10	 Whole Population Fitness Average at Bottleneck 20	 Whole Population Fitness Average at Bottleneck 30	 Whole Population Fitness Average at Bottleneck 40	 Whole Population Fitness Average at Bottleneck 50	 Whole Population Fitness Average at Bottleneck 60
POP-1 	 0.50575 	 0.488733 	 0.491925 	 0.501467 	 0.493833 	 0.496967 	 1 	 1 	 1 	 1 	 1 	 1 
POP-2 	 0.495908 	 0.488558 	 0.491992 	 0.480633 	 0.478817 	 0.482767 	 1 	 1 	 1 	 1 	 1 	 1 
POP-3 	 0.495475 	 0.494217 	 0.496567 	 0.492467 	 0.482458 	 0.486767 	 1 	 1 	 1 	 1 	 1 	 1 
POP-4 	 0.495233 	 0.481242 	 0.479508 	 0.480342 	 0.4784 	 0.468817 	 1 	 1 	 1 	 1 	 1 	 1 
POP-5 	 0.495292 	 0.495917 	 0.489575 	 0.509558 	 0.9937 	 1 	 1 	 1 	 1 	 1.00626 	 1.1302 	 1.13187 
POP-6 	 0.495567 	 0.492958 	 0.496783 	 0.493908 	 0.501133 	 0.49125 	 1 	 1 	 1 	 1 	 1 	 1 
POP-7 	 0.503825 	 0.505242 	 0.518192 	 0.465792 	 0 	 0 	 1 	 1 	 1 	 1.03764 	 1.35447 	 1.35447 
POP-8 	 0.489708 	 0.00479167 	 0.0222583 	 0.113358 	 0.399267 	 0.772875 	 1.00419 	 1.23464 	 1.23529 	 1.23846 	 1.24839 	 1.26137 
POP-9 	 0.497225 	 0.479883 	 0.481733 	 0.469992 	 0 	 0 	 1 	 1 	 1 	 1.00857 	 1.34132 	 1.34132 
POP-10 	 0.5027 	 0.488033 	 0.491433 	 0.494925 	 0.482983 	 0.221533 	 1 	 1 	 1 	 1 	 1 	 1.19738 
POP-11 	 0.481083 	 0.476458 	 0.481542 	 0.480017 	 0.478175 	 0.467167 	 1 	 1 	 1 	 1 	 1 	 1 
