Population	 Frequency at Bottleneck 10	 Frequency at Bottleneck 20	 Frequency at Bottleneck 30	 Frequency at Bottleneck 40	 Frequency at Bottleneck 50	 Frequency at Bottleneck 60	 Whole Population Fitness Average at Bottleneck 10	 Whole Population Fitness Average at Bottleneck 20	 Whole Population Fitness Average at Bottleneck 30	 Whole Population Fitness Average at Bottleneck 40	 Whole Population Fitness Average at Bottleneck 50	 Whole Population Fitness Average at Bottleneck 60
POP-40 	 0.100025 	 9.16667e-05 	 0 	 0 	 0 	 0 	 1.76177 	 4.94109 	 9.70974 	 21.3729 	 40.2208 	 105.416 
POP-41 	 0.444867 	 0.939883 	 1 	 1 	 1 	 1 	 1.57435 	 3.3604 	 8.55534 	 16.3261 	 32.5433 	 69.1651 
POP-42 	 0.946258 	 0.0726917 	 0 	 0 	 0 	 0 	 1.56895 	 3.63409 	 8.22353 	 18.7166 	 45.4558 	 95.0605 
POP-43 	 0.424067 	 1 	 1 	 1 	 1 	 1 	 1.64748 	 4.54096 	 11.0392 	 28.5611 	 71.1035 	 153.653 
POP-44 	 0.00535833 	 0 	 0 	 0 	 0 	 0 	 1.70167 	 3.62353 	 9.04934 	 17.8611 	 37.4844 	 79.0405 
POP-45 	 0.999008 	 1 	 1 	 1 	 1 	 1 	 2.25287 	 4.71349 	 10.763 	 27.271 	 66.1371 	 157.058 
POP-46 	 0.993608 	 1 	 1 	 1 	 1 	 1 	 1.65514 	 3.48573 	 7.77871 	 14.5395 	 26.3801 	 46.84 
POP-47 	 0.0286167 	 0 	 0 	 0 	 0 	 0 	 1.68149 	 3.21147 	 8.10176 	 21.8269 	 46.748 	 97.5829 
POP-48 	 0.0579833 	 0 	 0 	 0 	 0 	 0 	 1.66809 	 4.13545 	 9.76491 	 21.3485 	 55.3939 	 128.998 
POP-49 	 1 	 1 	 1 	 1 	 1 	 1 	 2.57324 	 4.66852 	 15.8282 	 27.8963 	 72.6947 	 134.8 
POP-50 	 0.940892 	 1 	 1 	 1 	 1 	 1 	 1.89484 	 4.51397 	 13.14 	 26.2614 	 56.5265 	 123.291 
POP-51 	 0.38795 	 0.998233 	 1 	 1 	 1 	 1 	 1.76817 	 3.77401 	 6.92587 	 15.2749 	 53.3963 	 135.955 
POP-52 	 0.804967 	 0.988392 	 1 	 1 	 1 	 1 	 1.59759 	 3.64406 	 6.89756 	 18.3452 	 58.041 	 178.164 
POP-53 	 0.000266667 	 0 	 0 	 0 	 0 	 0 	 2.01852 	 4.00603 	 10.1936 	 20.8154 	 47.0675 	 124.885 
POP-54 	 0.739842 	 0.994375 	 1 	 1 	 1 	 1 	 1.59603 	 3.86082 	 9.11623 	 16.6422 	 54.0814 	 110.762 
