Bug 1,Bug 2,Carbon,1 on 2: Effect,2 on 1: Effect,monoGrow_x,metDis,monoGrow_y,monoGrow24_x,monoGrow24_y,carbon_component_0,carbon_component_1,carbon_component_2,carbon_component_3,phy_strain_component_0_x,phy_strain_component_1_x,phy_strain_component_0_y,phy_strain_component_1_y 
SF1,KA,Alanine,-0.221548548,-0.450928173,0.305451882,0.141154818,0.368799349,-0.460320389,-0.67602167,2.795223474,1.096719676,-0.687067964,-0.808975062,-0.735447249,0.247141093,-0.761258362,0.059888798
KA,KA,Alanine,-0.630864816,-0.630864816,0.368799349,0,0.368799349,-0.67602167,-0.67602167,2.795223474,1.096719676,-0.687067964,-0.808975062,-0.761258362,0.059888798,-0.761258362,0.059888798
PK,KA,Alanine,-1.021005804,-0.187718513,0.427766697,0.68655047,0.368799349,-0.406710204,-0.67602167,2.795223474,1.096719676,-0.687067964,-0.808975062,1.734465091,0.034364534,-0.761258362,0.059888798
PR1,KA,Alanine,-0.759553012,0.107753495,0.540202741,0.598109221,0.368799349,-0.485112034,-0.67602167,2.795223474,1.096719676,-0.687067964,-0.808975062,1.621486475,-0.002116133,-0.761258362,0.059888798
PAr,KA,Alanine,-1.74465741,-0.174771941,0.817736086,0.446531356,0.368799349,-0.266516572,-0.67602167,2.795223474,1.096719676,-0.687067964,-0.808975062,1.577952578,-0.014274806,-0.761258362,0.059888798
PR2,KA,Alanine,-3.36312135,0.139481311,0.418949897,0.563801237,0.368799349,0.986352095,-0.67602167,2.795223474,1.096719676,-0.687067964,-0.808975062,1.639875556,0.005653129,-0.761258362,0.059888798
PH,KA,Alanine,-1.302480868,-0.267498387,1.295568891,0.66883931,0.368799349,-0.11653015,-0.67602167,2.795223474,1.096719676,-0.687067964,-0.808975062,1.675692322,0.010778575,-0.761258362,0.059888798
PAl,LA,Alanine,-0.52953044,0.000930229,0.18525751,0.068394371,1.302192649,-0.715627496,-0.58057939,2.795223474,1.096719676,-0.687067964,-0.808975062,-0.564351128,-0.250667083,-0.771000309,0.077075392
PAg2,LA,Alanine,-1.21416995,-1.033929055,-0.061409405,0.068759194,1.302192649,-0.729998267,-0.58057939,2.795223474,1.096719676,-0.687067964,-0.808975062,-0.630904166,-0.20157447,-0.771000309,0.077075392
PAg1,LA,Alanine,-0.846287053,-0.617912053,0.847374644,0.102129843,1.302192649,-0.680059894,-0.58057939,2.795223474,1.096719676,-0.687067964,-0.808975062,-0.644315471,-0.222011822,-0.771000309,0.077075392
PAg3,LA,Alanine,-0.786229516,-1.200684877,1.279291288,0.062816981,1.302192649,-0.744094869,-0.58057939,2.795223474,1.096719676,-0.687067964,-0.808975062,-0.598951558,-0.248461055,-0.771000309,0.077075392
LA,LA,Alanine,-0.910918245,-0.910918245,1.302192649,0,1.302192649,-0.58057939,-0.58057939,2.795223474,1.096719676,-0.687067964,-0.808975062,-0.771000309,0.077075392,-0.771000309,0.077075392
RP2,LA,Alanine,-1.590972401,-0.959827709,0.807661892,0.047181543,1.302192649,-0.822868049,-0.58057939,2.795223474,1.096719676,-0.687067964,-0.808975062,-0.792851826,0.117358038,-0.771000309,0.077075392
RP1,LA,Alanine,-1.48163878,-0.277895231,1.342440457,0.059722211,1.302192649,-0.691286174,-0.58057939,2.795223474,1.096719676,-0.687067964,-0.808975062,-0.796280534,0.113226274,-0.771000309,0.077075392
SF1,LA,Alanine,-0.021378747,-0.277786056,0.305451882,0.062575071,1.302192649,-0.460320389,-0.58057939,2.795223474,1.096719676,-0.687067964,-0.808975062,-0.735447249,0.247141093,-0.771000309,0.077075392
PK,LA,Alanine,-1.439064515,0.165576486,0.427766697,0.67597086,1.302192649,-0.406710204,-0.58057939,2.795223474,1.096719676,-0.687067964,-0.808975062,1.734465091,0.034364534,-0.771000309,0.077075392
PR1,LA,Alanine,-1.686079168,-0.076677394,0.540202741,0.59223636,1.302192649,-0.485112034,-0.58057939,2.795223474,1.096719676,-0.687067964,-0.808975062,1.621486475,-0.002116133,-0.771000309,0.077075392
PAr,LA,Alanine,-1.688172432,0.078490037,0.817736086,0.442965607,1.302192649,-0.266516572,-0.58057939,2.795223474,1.096719676,-0.687067964,-0.808975062,1.577952578,-0.014274806,-0.771000309,0.077075392
PR2,LA,Alanine,-3.521094542,0.125706506,0.418949897,0.536162651,1.302192649,0.986352095,-0.58057939,2.795223474,1.096719676,-0.687067964,-0.808975062,1.639875556,0.005653129,-0.771000309,0.077075392
PH,LA,Alanine,-1.563574254,-0.30723062,1.295568891,0.628875042,1.302192649,-0.11653015,-0.58057939,2.795223474,1.096719676,-0.687067964,-0.808975062,1.675692322,0.010778575,-0.771000309,0.077075392
PP,LA,Alanine,-1.232057655,-0.648514406,1.711639834,0.405839165,1.302192649,0.264026894,-0.58057939,2.795223474,1.096719676,-0.687067964,-0.808975062,1.708237337,0.022892351,-0.771000309,0.077075392
PAl,PAg1,Alanine,-0.857568943,-0.089581478,0.18525751,0.119899478,0.847374644,-0.715627496,-0.680059894,2.795223474,1.096719676,-0.687067964,-0.808975062,-0.564351128,-0.250667083,-0.644315471,-0.222011822
PAg2,PAg1,Alanine,0.073873855,-0.639445263,-0.061409405,0.100038556,0.847374644,-0.729998267,-0.680059894,2.795223474,1.096719676,-0.687067964,-0.808975062,-0.630904166,-0.20157447,-0.644315471,-0.222011822
PAg1,PAg1,Alanine,-1.064415325,-1.064415325,0.847374644,0,0.847374644,-0.680059894,-0.680059894,2.795223474,1.096719676,-0.687067964,-0.808975062,-0.644315471,-0.222011822,-0.644315471,-0.222011822
PAg3,PAg1,Alanine,-1.333860081,-0.739380916,1.279291288,0.056681816,0.847374644,-0.744094869,-0.680059894,2.795223474,1.096719676,-0.687067964,-0.808975062,-0.598951558,-0.248461055,-0.644315471,-0.222011822
RP2,PAg1,Alanine,-2.348827659,-0.595805114,0.807661892,0.105664752,0.847374644,-0.822868049,-0.680059894,2.795223474,1.096719676,-0.687067964,-0.808975062,-0.792851826,0.117358038,-0.644315471,-0.222011822
RP1,PAg1,Alanine,-2.016022697,-0.170763033,1.342440457,0.095964194,0.847374644,-0.691286174,-0.680059894,2.795223474,1.096719676,-0.687067964,-0.808975062,-0.796280534,0.113226274,-0.644315471,-0.222011822
SF1,PAg1,Alanine,-0.151411598,0.130352701,0.305451882,0.15553589,0.847374644,-0.460320389,-0.680059894,2.795223474,1.096719676,-0.687067964,-0.808975062,-0.735447249,0.247141093,-0.644315471,-0.222011822
PK,PAg1,Alanine,-0.475169318,-0.657600975,0.427766697,0.664964402,0.847374644,-0.406710204,-0.680059894,2.795223474,1.096719676,-0.687067964,-0.808975062,1.734465091,0.034364534,-0.644315471,-0.222011822
PR1,PAg1,Alanine,-1.20216886,-0.33892213,0.540202741,0.565605995,0.847374644,-0.485112034,-0.680059894,2.795223474,1.096719676,-0.687067964,-0.808975062,1.621486475,-0.002116133,-0.644315471,-0.222011822
PAr,PAg1,Alanine,-1.216940902,-0.544758052,0.817736086,0.423706865,0.847374644,-0.266516572,-0.680059894,2.795223474,1.096719676,-0.687067964,-0.808975062,1.577952578,-0.014274806,-0.644315471,-0.222011822
PR2,PAg1,Alanine,-1.224186423,0.065378264,0.418949897,0.507479487,0.847374644,0.986352095,-0.680059894,2.795223474,1.096719676,-0.687067964,-0.808975062,1.639875556,0.005653129,-0.644315471,-0.222011822
PH,PAg1,Alanine,-1.519058397,-0.276038341,1.295568891,0.605083765,0.847374644,-0.11653015,-0.680059894,2.795223474,1.096719676,-0.687067964,-0.808975062,1.675692322,0.010778575,-0.644315471,-0.222011822
PP,PAg1,Alanine,-0.91850573,-0.45030618,1.711639834,0.396038594,0.847374644,0.264026894,-0.680059894,2.795223474,1.096719676,-0.687067964,-0.808975062,1.708237337,0.022892351,-0.644315471,-0.222011822
PAl,PAg2,Alanine,-1.197827755,0.194960507,0.18525751,0.086282543,-0.061409405,-0.715627496,-0.729998267,2.795223474,1.096719676,-0.687067964,-0.808975062,-0.564351128,-0.250667083,-0.630904166,-0.20157447
PAg3,PAg2,Alanine,-1.307803134,-0.116953327,1.279291288,0.06708234,-0.061409405,-0.744094869,-0.729998267,2.795223474,1.096719676,-0.687067964,-0.808975062,-0.598951558,-0.248461055,-0.630904166,-0.20157447
RP2,PAg2,Alanine,-0.71645271,-0.238422462,0.807661892,0.079624846,-0.061409405,-0.822868049,-0.729998267,2.795223474,1.096719676,-0.687067964,-0.808975062,-0.792851826,0.117358038,-0.630904166,-0.20157447
RP1,PAg2,Alanine,-0.877408992,0.158893883,1.342440457,0.090062695,-0.061409405,-0.691286174,-0.729998267,2.795223474,1.096719676,-0.687067964,-0.808975062,-0.796280534,0.113226274,-0.630904166,-0.20157447
SF1,PAg2,Alanine,0.650343884,-0.702438089,0.305451882,0.092497261,-0.061409405,-0.460320389,-0.729998267,2.795223474,1.096719676,-0.687067964,-0.808975062,-0.735447249,0.247141093,-0.630904166,-0.20157447
PK,PAg2,Alanine,-0.686408183,-0.528637327,0.427766697,0.66557126,-0.061409405,-0.406710204,-0.729998267,2.795223474,1.096719676,-0.687067964,-0.808975062,1.734465091,0.034364534,-0.630904166,-0.20157447
PR1,PAg2,Alanine,-0.159658973,-0.203207443,0.540202741,0.576497868,-0.061409405,-0.485112034,-0.729998267,2.795223474,1.096719676,-0.687067964,-0.808975062,1.621486475,-0.002116133,-0.630904166,-0.20157447
PAr,PAg2,Alanine,0.090831401,-0.156771909,0.817736086,0.42249517,-0.061409405,-0.266516572,-0.729998267,2.795223474,1.096719676,-0.687067964,-0.808975062,1.577952578,-0.014274806,-0.630904166,-0.20157447
PR2,PAg2,Alanine,-1.026236399,0.193777189,0.418949897,0.503638039,-0.061409405,0.986352095,-0.729998267,2.795223474,1.096719676,-0.687067964,-0.808975062,1.639875556,0.005653129,-0.630904166,-0.20157447
PH,PAg2,Alanine,-0.108246376,-0.340387705,1.295568891,0.60320662,-0.061409405,-0.11653015,-0.729998267,2.795223474,1.096719676,-0.687067964,-0.808975062,1.675692322,0.010778575,-0.630904166,-0.20157447
PP,PAg2,Alanine,-0.086935349,-0.297276946,1.711639834,0.390851896,-0.061409405,0.264026894,-0.729998267,2.795223474,1.096719676,-0.687067964,-0.808975062,1.708237337,0.022892351,-0.630904166,-0.20157447
PAl,PAg3,Alanine,-1.832216273,0.136975286,0.18525751,0.086641886,1.279291288,-0.715627496,-0.744094869,2.795223474,1.096719676,-0.687067964,-0.808975062,-0.564351128,-0.250667083,-0.598951558,-0.248461055
PAg3,PAg3,Alanine,-1.760466116,-1.760466116,1.279291288,0,1.279291288,-0.744094869,-0.744094869,2.795223474,1.096719676,-0.687067964,-0.808975062,-0.598951558,-0.248461055,-0.598951558,-0.248461055
RP2,PAg3,Alanine,-1.43164313,-0.648788361,0.807661892,0.071435366,1.279291288,-0.822868049,-0.744094869,2.795223474,1.096719676,-0.687067964,-0.808975062,-0.792851826,0.117358038,-0.598951558,-0.248461055
RP1,PAg3,Alanine,-2.051751462,-0.373638532,1.342440457,0.074577135,1.279291288,-0.691286174,-0.744094869,2.795223474,1.096719676,-0.687067964,-0.808975062,-0.796280534,0.113226274,-0.598951558,-0.248461055
SF1,PAg3,Alanine,-0.539888091,0.076864897,0.305451882,0.106769104,1.279291288,-0.460320389,-0.744094869,2.795223474,1.096719676,-0.687067964,-0.808975062,-0.735447249,0.247141093,-0.598951558,-0.248461055
PK,PAg3,Alanine,-0.894351945,-0.483940575,0.427766697,0.676999141,1.279291288,-0.406710204,-0.744094869,2.795223474,1.096719676,-0.687067964,-0.808975062,1.734465091,0.034364534,-0.598951558,-0.248461055
PR1,PAg3,Alanine,-1.838443455,-0.045958354,0.540202741,0.575622704,1.279291288,-0.485112034,-0.744094869,2.795223474,1.096719676,-0.687067964,-0.808975062,1.621486475,-0.002116133,-0.598951558,-0.248461055
PAr,PAg3,Alanine,-1.884606097,-0.191055365,0.817736086,0.429361183,1.279291288,-0.266516572,-0.744094869,2.795223474,1.096719676,-0.687067964,-0.808975062,1.577952578,-0.014274806,-0.598951558,-0.248461055
PR2,PAg3,Alanine,-2.705178281,0.264034197,0.418949897,0.518470106,1.279291288,0.986352095,-0.744094869,2.795223474,1.096719676,-0.687067964,-0.808975062,1.639875556,0.005653129,-0.598951558,-0.248461055
PH,PAg3,Alanine,-1.936133296,-0.432027036,1.295568891,0.611076983,1.279291288,-0.11653015,-0.744094869,2.795223474,1.096719676,-0.687067964,-0.808975062,1.675692322,0.010778575,-0.598951558,-0.248461055
PP,PAg3,Alanine,-1.708253528,-0.341322767,1.711639834,0.390739318,1.279291288,0.264026894,-0.744094869,2.795223474,1.096719676,-0.687067964,-0.808975062,1.708237337,0.022892351,-0.598951558,-0.248461055
PAl,PAl,Alanine,-0.073335973,-0.073335973,0.18525751,0,0.18525751,-0.715627496,-0.715627496,2.795223474,1.096719676,-0.687067964,-0.808975062,-0.564351128,-0.250667083,-0.564351128,-0.250667083
RP2,PAl,Alanine,-0.089581478,-0.868958865,0.807661892,0.052765247,0.18525751,-0.822868049,-0.715627496,2.795223474,1.096719676,-0.687067964,-0.808975062,-0.792851826,0.117358038,-0.564351128,-0.250667083
RP1,PAl,Alanine,0,-0.045926264,1.342440457,0.068836256,0.18525751,-0.691286174,-0.715627496,2.795223474,1.096719676,-0.687067964,-0.808975062,-0.796280534,0.113226274,-0.564351128,-0.250667083
SF1,PAl,Alanine,0.34561622,-0.487763079,0.305451882,0.079255904,0.18525751,-0.460320389,-0.715627496,2.795223474,1.096719676,-0.687067964,-0.808975062,-0.735447249,0.247141093,-0.564351128,-0.250667083
PK,PAl,Alanine,0.341638887,-0.34470228,0.427766697,0.684842821,0.18525751,-0.406710204,-0.715627496,2.795223474,1.096719676,-0.687067964,-0.808975062,1.734465091,0.034364534,-0.564351128,-0.250667083
PR1,PAl,Alanine,-0.089581478,-0.24215994,0.540202741,0.591881815,0.18525751,-0.485112034,-0.715627496,2.795223474,1.096719676,-0.687067964,-0.808975062,1.621486475,-0.002116133,-0.564351128,-0.250667083
PAr,PAl,Alanine,0,-0.336658672,0.817736086,0.439848341,0.18525751,-0.266516572,-0.715627496,2.795223474,1.096719676,-0.687067964,-0.808975062,1.577952578,-0.014274806,-0.564351128,-0.250667083
PR2,PAl,Alanine,-0.089581478,0.242943403,0.418949897,0.531578886,0.18525751,0.986352095,-0.715627496,2.795223474,1.096719676,-0.687067964,-0.808975062,1.639875556,0.005653129,-0.564351128,-0.250667083
PH,PAl,Alanine,-0.089581478,-0.226788157,1.295568891,0.637072194,0.18525751,-0.11653015,-0.715627496,2.795223474,1.096719676,-0.687067964,-0.808975062,1.675692322,0.010778575,-0.564351128,-0.250667083
PP,PAl,Alanine,-0.089581478,-0.820951982,1.711639834,0.4091924,0.18525751,0.264026894,-0.715627496,2.795223474,1.096719676,-0.687067964,-0.808975062,1.708237337,0.022892351,-0.564351128,-0.250667083
RP2,PAr,Alanine,-0.848049605,-1.564972175,0.807661892,0.512589207,0.817736086,-0.822868049,-0.266516572,2.795223474,1.096719676,-0.687067964,-0.808975062,-0.792851826,0.117358038,1.577952578,-0.014274806
RP1,PAr,Alanine,-0.996696423,-1.354619636,1.342440457,0.496745136,0.817736086,-0.691286174,-0.266516572,2.795223474,1.096719676,-0.687067964,-0.808975062,-0.796280534,0.113226274,1.577952578,-0.014274806
SF1,PAr,Alanine,-0.027530303,-0.723017686,0.305451882,0.54158067,0.817736086,-0.460320389,-0.266516572,2.795223474,1.096719676,-0.687067964,-0.808975062,-0.735447249,0.247141093,1.577952578,-0.014274806
PK,PAr,Alanine,-0.486601294,-1.966029427,0.427766697,0.509186339,0.817736086,-0.406710204,-0.266516572,2.795223474,1.096719676,-0.687067964,-0.808975062,1.734465091,0.034364534,1.577952578,-0.014274806
PR1,PAr,Alanine,-1.516578263,-0.873327974,0.540202741,0.258977962,0.817736086,-0.485112034,-0.266516572,2.795223474,1.096719676,-0.687067964,-0.808975062,1.621486475,-0.002116133,1.577952578,-0.014274806
PAr,PAr,Alanine,-1.710240025,-1.710240025,0.817736086,0,0.817736086,-0.266516572,-0.266516572,2.795223474,1.096719676,-0.687067964,-0.808975062,1.577952578,-0.014274806,1.577952578,-0.014274806
PR2,PAr,Alanine,-2.727057224,-1.00916542,0.418949897,0.351493404,0.817736086,0.986352095,-0.266516572,2.795223474,1.096719676,-0.687067964,-0.808975062,1.639875556,0.005653129,1.577952578,-0.014274806
PH,PAr,Alanine,-1.727135631,-0.790008796,1.295568891,0.454482733,0.817736086,-0.11653015,-0.266516572,2.795223474,1.096719676,-0.687067964,-0.808975062,1.675692322,0.010778575,1.577952578,-0.014274806
PP,PAr,Alanine,-1.563950031,-0.614893133,1.711639834,0.352241001,0.817736086,0.264026894,-0.266516572,2.795223474,1.096719676,-0.687067964,-0.808975062,1.708237337,0.022892351,1.577952578,-0.014274806
RP2,PH,Alanine,-0.74358635,-1.444817386,0.807661892,0.622055889,1.295568891,-0.822868049,-0.11653015,2.795223474,1.096719676,-0.687067964,-0.808975062,-0.792851826,0.117358038,1.675692322,0.010778575
RP1,PH,Alanine,-0.827998143,-1.126180108,1.342440457,0.608469782,1.295568891,-0.691286174,-0.11653015,2.795223474,1.096719676,-0.687067964,-0.808975062,-0.796280534,0.113226274,1.675692322,0.010778575
SF1,PH,Alanine,0.012823764,-0.223375665,0.305451882,0.651517814,1.295568891,-0.460320389,-0.11653015,2.795223474,1.096719676,-0.687067964,-0.808975062,-0.735447249,0.247141093,1.675692322,0.010778575
PK,PH,Alanine,-0.220434398,-1.447252515,0.427766697,0.532721958,1.295568891,-0.406710204,-0.11653015,2.795223474,1.096719676,-0.687067964,-0.808975062,1.734465091,0.034364534,1.675692322,0.010778575
PR1,PH,Alanine,-0.813869921,-0.911591895,0.540202741,0.457512041,1.295568891,-0.485112034,-0.11653015,2.795223474,1.096719676,-0.687067964,-0.808975062,1.621486475,-0.002116133,1.675692322,0.010778575
PR2,PH,Alanine,-1.382737944,-0.86405825,0.418949897,0.387136419,1.295568891,0.986352095,-0.11653015,2.795223474,1.096719676,-0.687067964,-0.808975062,1.639875556,0.005653129,1.675692322,0.010778575
PH,PH,Alanine,-1.386804296,-1.386804296,1.295568891,0,1.295568891,-0.11653015,-0.11653015,2.795223474,1.096719676,-0.687067964,-0.808975062,1.675692322,0.010778575,1.675692322,0.010778575
RP2,PK,Alanine,-0.887913905,-0.69318681,0.807661892,0.794741407,0.427766697,-0.822868049,-0.406710204,2.795223474,1.096719676,-0.687067964,-0.808975062,-0.792851826,0.117358038,1.734465091,0.034364534
RP1,PK,Alanine,-1.024082511,-0.288172911,1.342440457,0.773176319,0.427766697,-0.691286174,-0.406710204,2.795223474,1.096719676,-0.687067964,-0.808975062,-0.796280534,0.113226274,1.734465091,0.034364534
SF1,PK,Alanine,-0.026723524,-1.019616257,0.305451882,0.827415901,0.427766697,-0.460320389,-0.406710204,2.795223474,1.096719676,-0.687067964,-0.808975062,-0.735447249,0.247141093,1.734465091,0.034364534
PK,PK,Alanine,-0.337252871,-0.337252871,0.427766697,0,0.427766697,-0.406710204,-0.406710204,2.795223474,1.096719676,-0.687067964,-0.808975062,1.734465091,0.034364534,1.734465091,0.034364534
PR1,PK,Alanine,-1.666304747,0.153152917,0.540202741,0.481364747,0.427766697,-0.485112034,-0.406710204,2.795223474,1.096719676,-0.687067964,-0.808975062,1.621486475,-0.002116133,1.734465091,0.034364534
PR2,PK,Alanine,-1.228421933,-0.207716698,0.418949897,0.653345185,0.427766697,0.986352095,-0.406710204,2.795223474,1.096719676,-0.687067964,-0.808975062,1.639875556,0.005653129,1.734465091,0.034364534
PP,PK,Alanine,-1.543691747,-0.646799985,1.711639834,0.667938795,0.427766697,0.264026894,-0.406710204,2.795223474,1.096719676,-0.687067964,-0.808975062,1.708237337,0.022892351,1.734465091,0.034364534
RP2,PP,Alanine,-1.157966804,-1.105368326,0.807661892,0.403309002,1.711639834,-0.822868049,0.264026894,2.795223474,1.096719676,-0.687067964,-0.808975062,-0.792851826,0.117358038,1.708237337,0.022892351
RP1,PP,Alanine,-0.963182898,-1.137087328,1.342440457,0.399456327,1.711639834,-0.691286174,0.264026894,2.795223474,1.096719676,-0.687067964,-0.808975062,-0.796280534,0.113226274,1.708237337,0.022892351
SF1,PP,Alanine,-0.264015328,0.565195137,0.305451882,0.418565463,1.711639834,-0.460320389,0.264026894,2.795223474,1.096719676,-0.687067964,-0.808975062,-0.735447249,0.247141093,1.708237337,0.022892351
PR1,PP,Alanine,-1.04614497,-1.309430701,0.540202741,0.41215195,1.711639834,-0.485112034,0.264026894,2.795223474,1.096719676,-0.687067964,-0.808975062,1.621486475,-0.002116133,1.708237337,0.022892351
PR2,PP,Alanine,-0.913714001,-1.016154795,0.418949897,0.41608193,1.711639834,0.986352095,0.264026894,2.795223474,1.096719676,-0.687067964,-0.808975062,1.639875556,0.005653129,1.708237337,0.022892351
PP,PP,Alanine,-1.273237188,-1.273237188,1.711639834,0,1.711639834,0.264026894,0.264026894,2.795223474,1.096719676,-0.687067964,-0.808975062,1.708237337,0.022892351,1.708237337,0.022892351
RP2,PR1,Alanine,-0.731098051,-1.092786968,0.807661892,0.775472995,0.540202741,-0.822868049,-0.485112034,2.795223474,1.096719676,-0.687067964,-0.808975062,-0.792851826,0.117358038,1.621486475,-0.002116133
RP1,PR1,Alanine,-0.641847678,-0.9302952,1.342440457,0.752499228,0.540202741,-0.691286174,-0.485112034,2.795223474,1.096719676,-0.687067964,-0.808975062,-0.796280534,0.113226274,1.621486475,-0.002116133
PR1,PR1,Alanine,-1.460787242,-1.460787242,0.540202741,0,0.540202741,-0.485112034,-0.485112034,2.795223474,1.096719676,-0.687067964,-0.808975062,1.621486475,-0.002116133,1.621486475,-0.002116133
PR2,PR1,Alanine,-0.67609761,-1.108009742,0.418949897,0.49861482,0.540202741,0.986352095,-0.485112034,2.795223474,1.096719676,-0.687067964,-0.808975062,1.639875556,0.005653129,1.621486475,-0.002116133
RP2,PR2,Alanine,-0.263459604,-1.147795817,0.807661892,0.576586695,0.418949897,-0.822868049,0.986352095,2.795223474,1.096719676,-0.687067964,-0.808975062,-0.792851826,0.117358038,1.639875556,0.005653129
RP1,PR2,Alanine,0.033407269,-1.118566072,1.342440457,0.566594675,0.418949897,-0.691286174,0.986352095,2.795223474,1.096719676,-0.687067964,-0.808975062,-0.796280534,0.113226274,1.639875556,0.005653129
SF1,PR2,Alanine,0.480331639,-0.87899258,0.305451882,0.611976603,0.418949897,-0.460320389,0.986352095,2.795223474,1.096719676,-0.687067964,-0.808975062,-0.735447249,0.247141093,1.639875556,0.005653129
PR2,PR2,Alanine,-1.561458315,-1.561458315,0.418949897,0,0.418949897,0.986352095,0.986352095,2.795223474,1.096719676,-0.687067964,-0.808975062,1.639875556,0.005653129,1.639875556,0.005653129
RP2,RP1,Alanine,-1.087418539,-1.357894282,0.807661892,0.035100527,1.342440457,-0.822868049,-0.691286174,2.795223474,1.096719676,-0.687067964,-0.808975062,-0.792851826,0.117358038,-0.796280534,0.113226274
RP1,RP1,Alanine,-1.282641505,-1.282641505,1.342440457,0,1.342440457,-0.691286174,-0.691286174,2.795223474,1.096719676,-0.687067964,-0.808975062,-0.796280534,0.113226274,-0.796280534,0.113226274
SF1,RP1,Alanine,0.09404435,-0.34457187,0.305451882,0.095685683,1.342440457,-0.460320389,-0.691286174,2.795223474,1.096719676,-0.687067964,-0.808975062,-0.735447249,0.247141093,-0.796280534,0.113226274
RP2,RP2,Alanine,-1.284662677,-1.284662677,0.807661892,0,0.807661892,-0.822868049,-0.822868049,2.795223474,1.096719676,-0.687067964,-0.808975062,-0.792851826,0.117358038,-0.792851826,0.117358038
SF1,RP2,Alanine,0.034040023,-0.481805429,0.305451882,0.066958445,0.807661892,-0.460320389,-0.822868049,2.795223474,1.096719676,-0.687067964,-0.808975062,-0.735447249,0.247141093,-0.792851826,0.117358038
SF1,SF1,Alanine,-0.031965152,-0.031965152,0.305451882,0,0.305451882,-0.460320389,-0.460320389,2.795223474,1.096719676,-0.687067964,-0.808975062,-0.735447249,0.247141093,-0.735447249,0.247141093
PAl,BI,Arabinogalactan,0,0,-0.997950734,0.07298399,-0.906567829,-0.619228005,-0.628828787,-4.106903934,-1.055360276,-0.006732943,0.015511506,-0.564351128,-0.250667083,-0.780753714,0.038022539
PAg2,BI,Arabinogalactan,0,0,-0.920310019,0.085849867,-0.906567829,-0.641719944,-0.628828787,-4.106903934,-1.055360276,-0.006732943,0.015511506,-0.630904166,-0.20157447,-0.780753714,0.038022539
PAg1,BI,Arabinogalactan,0,0,-1.040248087,0.113104883,-0.906567829,-0.676555476,-0.628828787,-4.106903934,-1.055360276,-0.006732943,0.015511506,-0.644315471,-0.222011822,-0.780753714,0.038022539
PAg3,BI,Arabinogalactan,0,0,-0.970296348,0.081750421,-0.906567829,-0.813263304,-0.628828787,-4.106903934,-1.055360276,-0.006732943,0.015511506,-0.598951558,-0.248461055,-0.780753714,0.038022539
LA,BI,Arabinogalactan,0,-1.027702376,-0.946111402,0.055645857,-0.906567829,-0.590533994,-0.628828787,-4.106903934,-1.055360276,-0.006732943,0.015511506,-0.771000309,0.077075392,-0.780753714,0.038022539
EL,BI,Arabinogalactan,0,-0.415623792,-1.233532308,0.052006108,-0.906567829,-0.895958431,-0.628828787,-4.106903934,-1.055360276,-0.006732943,0.015511506,-0.734730655,-0.044093938,-0.780753714,0.038022539
RP2,BI,Arabinogalactan,0,-0.405307602,-1.077521545,0.045393609,-0.906567829,-0.884491714,-0.628828787,-4.106903934,-1.055360276,-0.006732943,0.015511506,-0.792851826,0.117358038,-0.780753714,0.038022539
RP1,BI,Arabinogalactan,0,0,-1.172050247,0.056978621,-0.906567829,-0.927411726,-0.628828787,-4.106903934,-1.055360276,-0.006732943,0.015511506,-0.796280534,0.113226274,-0.780753714,0.038022539
SF1,BI,Arabinogalactan,0,0.082362622,-0.937976926,0.065064696,-0.906567829,-0.922586195,-0.628828787,-4.106903934,-1.055360276,-0.006732943,0.015511506,-0.735447249,0.247141093,-0.780753714,0.038022539
BI,BI,Arabinogalactan,0,0,-0.906567829,0,-0.906567829,-0.628828787,-0.628828787,-4.106903934,-1.055360276,-0.006732943,0.015511506,-0.780753714,0.038022539,-0.780753714,0.038022539
KA,BI,Arabinogalactan,0,-0.154958744,-0.99321828,0.080031113,-0.906567829,-0.643447936,-0.628828787,-4.106903934,-1.055360276,-0.006732943,0.015511506,-0.761258362,0.059888798,-0.780753714,0.038022539
CF,BI,Arabinogalactan,0,0,-0.960122466,0.086684061,-0.906567829,-0.629958176,-0.628828787,-4.106903934,-1.055360276,-0.006732943,0.015511506,-0.774739165,0.046373732,-0.780753714,0.038022539
EC,BI,Arabinogalactan,0,-0.886144603,-0.665903866,1,-0.906567829,-0.091810967,-0.628828787,-4.106903934,-1.055360276,-0.006732943,0.015511506,-0.643519307,-0.047828461,-0.780753714,0.038022539
EA,BI,Arabinogalactan,0,0,-0.778099709,0.074362093,-0.906567829,-0.591932062,-0.628828787,-4.106903934,-1.055360276,-0.006732943,0.015511506,-0.728605914,0.258253314,-0.780753714,0.038022539
PK,BI,Arabinogalactan,0,-0.684497577,-0.761336501,0.68991246,-0.906567829,-0.17921355,-0.628828787,-4.106903934,-1.055360276,-0.006732943,0.015511506,1.734465091,0.034364534,-0.780753714,0.038022539
PR1,BI,Arabinogalactan,0,0,-0.96066235,0.60172791,-0.906567829,-0.324125769,-0.628828787,-4.106903934,-1.055360276,-0.006732943,0.015511506,1.621486475,-0.002116133,-0.780753714,0.038022539
PAr,BI,Arabinogalactan,0,-0.432501842,-0.92089947,0.450210677,-0.906567829,-0.293086431,-0.628828787,-4.106903934,-1.055360276,-0.006732943,0.015511506,1.577952578,-0.014274806,-0.780753714,0.038022539
