,0,1,2,3,4,5,6,7,8,9
0,0.34496695,-0.09678134,-0.23794085,0.32176888,-0.00527595,0.06750004,-0.2935565,-0.08807856,-0.3766309,0.005476039
1,-0.2870293,0.048413455,0.081112266,-0.09141821,-0.27140123,0.034841225,-0.082214355,-0.03695926,-0.25361317,-0.10025647
2,0.31224424,-0.1587326,0.06912136,-0.12503427,-0.040541645,0.1626421,0.26465684,-0.008734286,-0.24824548,-0.13536856
3,0.28526878,0.041413948,0.17465252,-0.006462507,-0.25070706,0.071769655,0.2122783,0.17487627,0.0793708,-0.33269072
4,-0.29255715,0.27176026,0.10948151,0.08402318,0.22256094,0.1453684,0.15544638,-0.011606544,-0.14315233,0.13971156
5,-0.15008307,0.16519499,0.107936084,0.09619576,0.13226554,-0.25006735,-0.1381989,-0.08344522,-0.3580696,-0.18226159
6,0.033237964,0.06471118,-0.24806881,0.21060947,0.06111052,-0.099546015,-0.022832155,-0.030698836,-0.1821084,0.0072488524
7,0.03160113,-0.2305974,-0.10126665,0.06465855,-0.10628426,-0.23484725,-0.16234508,0.21216875,0.24898511,-0.26027906
8,-0.28429082,-0.006377697,0.00094357133,0.15039518,-0.07116763,-0.32702887,0.14836109,-0.052100614,-0.07976739,0.027015008
9,-0.072619766,0.20803961,0.10217026,-0.1295641,0.3152541,0.06998545,0.18345505,0.0060989857,-0.00740999,0.01000306
10,0.039032817,-0.13803983,-0.067431316,0.056854963,-0.26734853,0.05034402,0.36310017,-0.030614346,-0.044051528,0.28993157
11,-0.2173028,-0.23678467,0.04834177,0.21837503,-0.08236063,-0.07659286,-0.1600484,0.3321355,-0.11759156,-0.044914246
12,-0.26882684,-0.1672746,0.23779619,-0.27052277,-0.067490615,0.1961346,-0.099058926,-0.15497686,0.16473591,-0.1236763
13,-0.25523597,0.025838405,0.034370124,-0.26666403,-0.19125746,-0.21253574,-0.2835712,0.11682242,0.2462573,0.14816988
14,-0.25403666,0.13337786,0.030784428,-0.0617702,0.1972112,-0.033468187,-0.12511873,0.051710784,-0.21193135,0.24676043
15,0.29367757,0.25551298,-0.08714253,-0.2804222,0.058378845,-0.007720202,0.032983527,0.019151151,0.0076764375,0.17934102
16,-0.08418059,-0.058757886,-0.14030772,-0.050763458,0.007248193,-0.08034843,-0.038416564,0.0443767,-0.14264381,-0.041530192
17,0.17038418,-0.02032986,-0.1957472,-0.0991835,0.24879962,0.2406621,-0.033832446,0.024663173,0.12811601,-0.23577017
18,-0.13150322,-0.27383143,0.13427016,0.26465878,0.06100315,0.12580913,0.050252974,0.10476613,0.008284003,0.082813166
19,-0.2273592,-0.023502707,0.20783907,-0.252285,0.29642648,-0.08869073,-0.23776051,-0.031807154,-0.24059135,-0.15132141
20,-0.11011258,-0.16251992,-0.09996012,-0.014886133,0.2260778,0.12533227,-0.16792542,0.22463691,0.121925,-0.09538424
21,-0.047232807,-0.06543677,0.003970206,0.16415137,0.0411914,-0.025390059,-0.003935218,0.10158968,-0.050171286,0.11939432
22,0.28319615,0.08789758,-0.100505576,0.2009548,-0.040353805,0.13276882,0.2872792,0.31821954,0.21896434,0.15865001
23,0.021238685,-0.042155117,0.041513376,0.29721212,-0.058936022,0.12581885,-0.030473918,0.16526955,0.04583539,0.25063467
24,0.05884126,-0.020876043,0.09368057,-0.10238686,-0.19287378,-0.15645006,-0.021359295,0.34260786,0.0050607957,-0.015579935
25,-0.053914458,-0.11624497,0.05534184,-0.1428717,0.28083545,0.026791185,-0.10643547,0.17351004,0.012745351,-0.3184342
26,0.30829507,-0.049332708,-0.16079289,0.13691956,0.057649195,0.22925946,-0.13967258,-0.051252514,-0.17458338,0.07969016
27,0.07559204,-0.05066374,-0.14915866,0.24744552,-0.091071576,-0.04090908,0.12171841,-0.043504536,-0.074889615,0.27416062
28,0.18090022,-0.11393331,-0.17675057,-0.2363919,-0.29390585,0.003096372,0.3570314,-0.05389622,0.32012123,-0.039987236
29,0.19209723,0.3240146,-0.04877138,0.019147947,0.014655054,0.09228459,0.08701542,0.15094797,0.22539061,-0.04879567
30,-0.07447967,-0.019640326,0.007348925,-0.08039814,-0.19420141,-0.003476739,-0.07221808,-0.033510357,0.2904009,-0.08480245
31,-0.15472257,0.12145358,0.08529806,-0.02265291,-0.13647366,-0.16207004,0.25372928,-0.028522134,-0.09731579,-0.14780438
32,-0.019700855,-0.1500107,0.21832722,0.15818807,-0.123669386,0.34970832,-0.09289524,0.27330387,-0.08139467,0.3278585
33,-0.20673865,0.11920655,0.29909927,-0.23661023,-0.034593523,0.16787922,-0.059210137,-0.075347185,0.31689224,0.027915522
34,0.0766657,0.005585134,-0.31649613,0.117872044,0.29158902,0.18204844,0.14231277,0.19010669,-0.034593157,-0.23776859
35,-0.06787841,0.06649557,0.06377986,-0.14239451,0.05389271,-0.26636136,-0.07142219,0.09485048,-0.22967541,0.20893937
36,-0.3151874,-0.04585585,-0.050968856,-0.2100727,0.06291612,0.34743613,0.23613393,0.32335305,-0.033472538,-0.18375364
37,0.11729309,-0.13485208,0.21835893,0.046773702,-0.09148508,0.16412956,0.025884956,-0.06948457,-0.099419355,0.28100258
38,0.21026355,-0.2313607,-0.33338028,0.23443191,-0.084229335,-0.11553222,-0.1439389,-0.24083018,-0.045688838,0.13372156
39,0.089095935,0.12137949,0.2852611,0.029910624,0.17057097,-0.124641694,0.16627026,0.13783851,0.06954712,-0.18743932
40,-0.0030160435,0.042237043,-0.09992075,0.1894347,-0.10738212,0.02279073,0.29676956,-0.17246068,-0.15990311,-0.2097187
41,0.22756082,-0.27473378,0.1280269,-0.08070919,0.04655017,-0.1481604,0.28589612,0.24920195,-0.25141394,-0.085285276
42,0.3086576,0.20389861,-0.07181013,0.17776012,-0.16595665,0.05707085,-0.0028747953,0.020805717,-0.02210641,0.09048203
43,0.32257277,-0.003622353,0.05079958,-0.09995949,0.061366595,0.23177963,-0.091700494,-0.35201573,-0.098893434,0.23805082
44,0.038476318,0.0073743463,0.24559796,-0.10161877,0.13441202,-0.1899721,0.003380414,0.053419113,-0.16922763,0.08142855
45,0.32257068,-0.07155873,-0.16546094,-0.36174208,0.073367625,-0.20807719,0.13109204,0.038476665,-0.22533143,0.018822163
46,-0.25095838,0.27675188,-0.029049575,0.33792013,0.10997061,0.24799454,0.3425184,-0.06807679,-0.105321705,-0.027509063
47,-0.18473089,-0.09174055,-0.15677553,0.07755406,0.24487287,-0.030253712,0.18419823,0.28368568,-0.200706,-0.086607814
48,0.13831794,-0.013500154,-0.16553485,-0.32081926,0.29264352,0.06496742,0.09773341,0.30364552,-0.12835711,-0.17065841
49,-0.09053278,0.1518535,0.27270824,0.14124668,0.17448848,0.26232237,-0.03175351,-0.15888855,0.1960429,-0.2297597
50,-0.29241318,0.103089936,-0.31231648,0.040903002,0.10757911,-0.0053825974,-0.30923277,0.2880957,-0.27185702,0.38696814
51,-0.024944663,0.27983415,0.0029367544,0.22264218,-0.20277965,0.12370646,-0.18333884,-0.08286294,-0.039439887,0.10229394
52,0.053306013,-0.081170514,0.040712714,0.10488969,-0.035383523,-0.23075068,0.0739107,0.0563861,-0.01415962,-0.15875882
53,0.38313693,0.09215087,-0.22591275,0.03249245,0.04835698,0.09006888,0.3848254,0.16725898,0.038995862,-0.06798629
54,0.026380688,-0.07188961,-0.1322149,0.0798935,-0.21264601,-0.19056857,-0.019929469,-0.039978787,-0.21933725,0.06382793
55,-0.024413764,0.21798299,0.0019440651,0.22954002,0.2645471,0.18342827,0.26182646,-0.14422405,0.24629235,0.18452263
56,0.19791862,0.0034934282,0.12311596,0.12918663,-0.1420166,-0.24152786,0.042629123,-0.12285781,0.1649403,0.06081587
57,-0.081259966,0.30014205,0.065977246,0.15278798,0.21104774,0.084804,-0.09920004,0.12124926,-0.25349638,0.20060141
58,0.14578536,-0.15299729,-0.12494436,0.24295215,-0.23499364,-0.0635822,0.30189198,0.067469984,0.030843586,0.27609092
59,0.035798497,-0.19657129,0.1597355,-0.06172657,0.113059044,0.20961815,0.20118093,0.044855,0.030969933,0.018523917
60,-0.023575842,0.14911854,-0.0288723,-0.069956265,0.0333125,0.124900974,0.04670938,0.06366229,0.08598009,-0.023315102
61,-0.20302457,0.0072002113,0.20536405,-0.08666423,0.004209399,0.24759558,0.3217529,-0.07338942,0.13481581,0.017405212
62,0.086442426,0.0032084882,-0.21099216,-0.29476577,-0.3039961,0.03813964,0.042547822,0.1503683,0.20659515,-0.23153543
63,0.031107932,-0.13321301,0.02821821,0.22769982,0.2250287,-0.02441209,-0.23931366,-0.048431754,-0.15193546,-0.024499923
64,0.15281293,-0.060434595,-0.16022933,0.15046477,-0.031494185,0.17538098,-0.21483415,0.013800889,-0.22941667,-0.28327012
65,0.1363602,0.0941405,0.12523729,0.11513552,0.18214616,-0.25573778,-0.41778076,-0.061752632,-0.14840403,0.23665968
66,-0.012078501,0.109157234,-0.07137847,0.2101183,-0.036902487,-0.22910812,-0.094914556,0.055024743,-0.011697859,0.2806831
67,0.1672607,-0.056407034,-0.24972624,-0.048812747,0.33631986,0.07218652,0.177096,-0.16862062,-0.3584503,0.2368139
68,0.045612365,0.12962681,-0.22938105,-0.06331609,0.0702523,0.01919206,0.068097234,-0.14978522,0.096137464,-0.0056725014
69,0.004282914,0.0016795881,-0.18871802,0.1835891,0.13300806,-0.12722945,0.11112794,-0.058733076,-0.008122057,-0.15420237
70,0.042339727,0.1397747,-0.12028393,0.27271488,0.059337616,-0.07501507,0.22084612,0.29018325,0.16465229,0.13581291
71,0.042166352,-0.19262964,0.078894734,0.27897608,0.17423588,-0.0994848,0.0014949888,0.07237676,-0.0032238364,-0.1421752
72,0.07397498,-0.022117794,0.055997506,-0.1733576,0.037596762,-0.30477178,-0.18053094,0.13595337,0.11448854,0.30571848
73,-0.12335211,-0.13387199,-0.019324958,-0.21823907,0.25295705,0.01851061,0.18435737,-0.21367717,-0.13541585,0.127594
74,-0.24813262,-0.025768876,0.14317435,0.27928972,0.23906171,0.20781493,0.03134428,-0.09270898,0.3109675,0.07629505
75,0.112470984,-0.2030794,-0.033701092,-0.105855346,-0.068774685,0.16308537,-0.26906288,0.21340191,-0.07794471,0.20831382
